Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
13,"(8, 2014)","(40, 2016)","(40, 2015)","(40, 2015)","(8, 2013)","(40, 2013)","(102, 2017)","(102, 2017)","(58, 2013)","(4, 2013)"
14,"(8, 2015)","(0, 2012)","(4, 2012)","(0, 2015)","(58, 2017)","(0, 2015)","(25, 2012)","(104, 2015)","(25, 2012)","(19, 2017)"
15,"(4, 2016)","(104, 2015)","(25, 2014)","(102, 2015)","(0, 2012)","(25, 2017)","(0, 2017)","(58, 2017)","(25, 2012)","(8, 2012)"
16,"(40, 2015)","(25, 2017)","(102, 2014)","(25, 2015)","(4, 2016)","(19, 2016)","(19, 2014)","(8, 2017)","(40, 2013)","(8, 2014)"
17,"(40, 2012)","(0, 2012)","(0, 2012)","(19, 2013)","(4, 2012)","(58, 2015)","(58, 2013)","(102, 2016)","(104, 2013)","(104, 2014)"
18,"(0, 2013)","(104, 2016)","(8, 2013)","(102, 2017)","(104, 2013)","(25, 2015)","(25, 2017)","(4, 2013)","(102, 2015)","(58, 2017)"
19,"(102, 2016)","(19, 2013)","(58, 2016)","(58, 2017)","(102, 2012)","(4, 2015)","(58, 2014)","(0, 2013)","(19, 2016)","(104, 2016)"
20,"(25, 2014)","(0, 2014)","(0, 2013)","(104, 2015)","(25, 2015)","(58, 2016)","(19, 2016)","(19, 2014)","(8, 2013)","(4, 2013)"
21,"(0, 2016)","(102, 2013)","(104, 2016)","(25, 2016)","(19, 2014)","(40, 2012)","(58, 2012)","(19, 2017)","(8, 2015)","(104, 2013)"
22,"(40, 2015)","(40, 2016)","(4, 2015)","(102, 2016)","(104, 2015)","(58, 2012)","(25, 2017)","(102, 2015)","(19, 2015)","(40, 2013)"
23,"(19, 2014)","(102, 2015)","(40, 2012)","(40, 2015)","(104, 2014)","(0, 2012)","(104, 2015)","(19, 2013)","(58, 2016)","(19, 2015)"
24,"(8, 2014)","(25, 2017)","(4, 2017)","(19, 2014)","(8, 2015)","(25, 2013)","(102, 2014)","(25, 2014)","(25, 2016)","(4, 2014)"
25,"(19, 2015)","(58, 2014)","(0, 2016)","(104, 2013)","(0, 2013)","(102, 2014)","(58, 2014)","(40, 2016)","(58, 2017)","(40, 2015)"
26,"(58, 2017)","(25, 2014)","(8, 2012)","(8, 2014)","(4, 2015)","(0, 2012)","(0, 2012)","(8, 2013)","(104, 2012)","(19, 2017)"
27,"(104, 2014)","(8, 2016)","(19, 2016)","(40, 2017)","(19, 2015)","(104, 2017)","(58, 2017)","(25, 2013)","(58, 2016)","(19, 2017)"
28,"(40, 2017)","(4, 2013)","(19, 2017)","(19, 2016)","(104, 2014)","(40, 2014)","(40, 2015)","(58, 2012)","(0, 2017)","(102, 2017)"
29,"(19, 2017)","(8, 2012)","(19, 2016)","(8, 2014)","(40, 2013)","(25, 2012)","(4, 2013)","(40, 2014)","(104, 2013)","(19, 2013)"
30,"(102, 2015)","(40, 2016)","(0, 2013)","(25, 2014)","(4, 2015)","(4, 2016)","(58, 2013)","(58, 2012)","(0, 2016)","(8, 2013)"
31,"(8, 2013)","(25, 2014)","(102, 2013)","(19, 2017)","(0, 2015)","(40, 2014)","(25, 2016)","(0, 2014)","(8, 2013)","(19, 2016)"
32,"(0, 2016)","(8, 2014)","(102, 2016)","(25, 2013)","(0, 2014)","(8, 2016)","(58, 2012)","(8, 2013)","(25, 2017)","(40, 2012)"
33,"(4, 2014)","(19, 2015)","(8, 2016)","(104, 2012)","(8, 2014)","(25, 2015)","(104, 2016)","(8, 2015)","(104, 2017)","(102, 2012)"
34,"(19, 2015)","(58, 2012)","(19, 2016)","(58, 2017)","(19, 2013)","(8, 2014)","(8, 2013)","(8, 2016)","(58, 2013)","(25, 2016)"
35,"(40, 2014)","(58, 2015)","(4, 2014)","(58, 2016)","(58, 2017)","(58, 2013)","(58, 2015)","(8, 2012)","(40, 2017)","(8, 2016)"
36,"(40, 2014)","(4, 2017)","(40, 2017)","(104, 2017)","(8, 2015)","(40, 2013)","(58, 2012)","(25, 2012)","(0, 2012)","(104, 2012)"
37,"(0, 2015)","(102, 2016)","(58, 2016)","(19, 2012)","(40, 2017)","(25, 2012)","(19, 2014)","(25, 2016)","(40, 2015)","(4, 2017)"
38,"(19, 2017)","(0, 2013)","(0, 2013)","(25, 2016)","(25, 2013)","(40, 2016)","(104, 2012)","(104, 2016)","(0, 2015)","(4, 2017)"
39,"(58, 2015)","(8, 2017)","(58, 2015)","(0, 2012)","(8, 2017)","(102, 2016)","(102, 2017)","(8, 2017)","(58, 2017)","(4, 2015)"
40,"(104, 2012)","(0, 2015)","(4, 2016)","(40, 2016)","(25, 2014)","(4, 2014)","(40, 2015)","(0, 2015)","(58, 2016)","(104, 2017)"
41,"(104, 2017)","(4, 2016)","(19, 2013)","(104, 2012)","(4, 2012)","(40, 2017)","(104, 2014)","(0, 2013)","(19, 2013)","(102, 2012)"
42,"(102, 2014)","(40, 2012)","(4, 2012)","(0, 2016)","(0, 2014)","(40, 2017)","(58, 2014)","(19, 2012)","(58, 2014)","(4, 2017)"
43,"(58, 2012)","(58, 2013)","(25, 2016)","(4, 2014)","(40, 2013)","(25, 2016)","(40, 2013)","(40, 2012)","(58, 2014)","(19, 2015)"
44,"(19, 2017)","(25, 2016)","(4, 2016)","(58, 2014)","(8, 2015)","(40, 2014)","(25, 2013)","(4, 2015)","(40, 2012)","(25, 2015)"
45,"(4, 2017)","(4, 2013)","(58, 2015)","(104, 2016)","(58, 2015)","(19, 2013)","(0, 2015)","(102, 2017)","(19, 2013)","(8, 2015)"
46,"(19, 2013)","(102, 2016)","(104, 2015)","(104, 2017)","(25, 2017)","(40, 2015)","(19, 2013)","(58, 2015)","(58, 2012)","(8, 2016)"
47,"(102, 2015)","(4, 2013)","(8, 2015)","(40, 2014)","(0, 2012)","(40, 2017)","(104, 2016)","(104, 2014)","(8, 2017)","(40, 2013)"
48,"(102, 2012)","(8, 2017)","(4, 2014)","(0, 2015)","(4, 2014)","(0, 2012)","(4, 2016)","(4, 2012)","(58, 2017)","(104, 2015)"
49,"(19, 2012)","(25, 2015)","(0, 2015)","(58, 2014)","(40, 2014)","(19, 2013)","(0, 2016)","(0, 2015)","(4, 2012)","(8, 2013)"
50,"(104, 2013)","(8, 2013)","(25, 2013)","(102, 2012)","(102, 2013)","(40, 2014)","(102, 2012)","(8, 2014)","(25, 2013)","(4, 2016)"
51,"(58, 2017)","(0, 2012)","(58, 2014)","(58, 2016)","(8, 2015)","(104, 2013)","(58, 2013)","(58, 2015)","(40, 2015)","(8, 2012)"
52,"(25, 2013)","(4, 2012)","(19, 2012)","(40, 2013)","(102, 2012)","(58, 2015)","(8, 2017)","(102, 2014)","(19, 2012)","(25, 2013)"
53,"(4, 2012)","(19, 2013)","(102, 2017)","(19, 2017)","(102, 2015)","(0, 2015)","(8, 2015)","(25, 2012)","(25, 2012)","(58, 2017)"
54,"(8, 2016)","(4, 2017)","(0, 2016)","(104, 2017)","(102, 2017)","(102, 2017)","(0, 2014)","(25, 2016)","(104, 2016)","(0, 2013)"
55,"(102, 2012)","(40, 2012)","(0, 2013)","(25, 2013)","(25, 2013)","(0, 2014)","(8, 2013)","(40, 2012)","(40, 2013)","(19, 2016)"
56,"(58, 2017)","(19, 2015)","(25, 2016)","(19, 2012)","(58, 2013)","(25, 2015)","(8, 2017)","(19, 2015)","(58, 2015)","(19, 2013)"
57,"(40, 2012)","(19, 2012)","(58, 2016)","(25, 2014)","(104, 2015)","(40, 2017)","(102, 2013)","(4, 2015)","(104, 2014)","(8, 2014)"
58,"(19, 2014)","(25, 2014)","(102, 2012)","(40, 2016)","(4, 2014)","(19, 2014)","(4, 2016)","(0, 2013)","(4, 2017)","(25, 2015)"
59,"(4, 2015)","(25, 2012)","(102, 2015)","(40, 2012)","(58, 2016)","(8, 2015)","(40, 2017)","(8, 2012)","(8, 2014)","(4, 2016)"
60,"(19, 2012)","(4, 2012)","(58, 2014)","(40, 2015)","(104, 2017)","(25, 2012)","(19, 2017)","(58, 2014)","(40, 2016)","(19, 2012)"
61,"(0, 2012)","(102, 2016)","(25, 2016)","(104, 2015)","(25, 2014)","(25, 2015)","(0, 2017)","(25, 2014)","(104, 2013)","(0, 2015)"
62,"(0, 2017)","(102, 2012)","(40, 2016)","(102, 2014)","(4, 2013)","(4, 2015)","(8, 2012)","(25, 2015)","(4, 2013)","(25, 2017)"
63,"(4, 2014)","(19, 2017)","(102, 2016)","(4, 2012)","(4, 2012)","(102, 2014)","(25, 2013)","(8, 2015)","(0, 2015)","(19, 2012)"
64,"(19, 2017)","(0, 2017)","(25, 2016)","(25, 2015)","(0, 2015)","(8, 2016)","(40, 2013)","(40, 2012)","(104, 2014)","(8, 2014)"
65,"(40, 2012)","(40, 2013)","(4, 2012)","(8, 2012)","(104, 2012)","(102, 2014)","(19, 2017)","(102, 2015)","(19, 2014)","(4, 2017)"
66,"(19, 2016)","(4, 2016)","(0, 2013)","(58, 2017)","(4, 2017)","(58, 2017)","(40, 2013)","(102, 2017)","(0, 2016)","(4, 2014)"
67,"(40, 2012)","(25, 2012)","(25, 2017)","(25, 2012)","(102, 2013)","(8, 2012)","(8, 2017)","(58, 2013)","(40, 2016)","(19, 2012)"
68,"(102, 2016)","(8, 2012)","(19, 2012)","(40, 2013)","(25, 2013)","(0, 2012)","(25, 2013)","(40, 2016)","(104, 2013)","(4, 2016)"
69,"(0, 2012)","(19, 2014)","(0, 2013)","(102, 2015)","(0, 2017)","(104, 2012)","(4, 2014)","(8, 2017)","(104, 2017)","(40, 2012)"
70,"(58, 2013)","(8, 2012)","(102, 2015)","(102, 2016)","(4, 2016)","(104, 2016)","(25, 2015)","(19, 2014)","(19, 2017)","(8, 2015)"
71,"(4, 2017)","(4, 2015)","(8, 2017)","(102, 2014)","(8, 2012)","(102, 2012)","(0, 2016)","(4, 2016)","(104, 2012)","(0, 2015)"
72,"(104, 2012)","(4, 2012)","(58, 2014)","(25, 2015)","(58, 2013)","(58, 2017)","(25, 2016)","(102, 2017)","(8, 2015)","(104, 2016)"
73,"(104, 2014)","(19, 2013)","(104, 2012)","(104, 2017)","(25, 2014)","(25, 2013)","(4, 2016)","(0, 2013)","(102, 2017)","(58, 2014)"
74,"(0, 2013)","(8, 2013)","(58, 2015)","(58, 2017)","(19, 2013)","(40, 2013)","(25, 2015)","(102, 2013)","(19, 2015)","(8, 2012)"
75,"(102, 2012)","(19, 2013)","(58, 2017)","(25, 2012)","(25, 2015)","(19, 2012)","(40, 2016)","(25, 2013)","(25, 2014)","(0, 2016)"
76,"(8, 2015)","(4, 2017)","(102, 2016)","(102, 2016)","(58, 2014)","(102, 2017)","(40, 2012)","(104, 2017)","(104, 2013)","(4, 2013)"
77,"(58, 2014)","(19, 2014)","(19, 2012)","(102, 2015)","(8, 2015)","(104, 2017)","(4, 2017)","(19, 2014)","(8, 2013)","(4, 2017)"
78,"(58, 2013)","(40, 2014)","(104, 2015)","(104, 2012)","(4, 2017)","(40, 2012)","(8, 2013)","(40, 2013)","(4, 2017)","(104, 2013)"
79,"(25, 2015)","(104, 2013)","(8, 2017)","(104, 2017)","(19, 2017)","(19, 2016)","(102, 2017)","(25, 2014)","(104, 2015)","(19, 2014)"
80,"(8, 2016)","(4, 2013)","(8, 2016)","(40, 2013)","(104, 2014)","(104, 2012)","(104, 2014)","(8, 2015)","(8, 2017)","(104, 2014)"
81,"(4, 2016)","(102, 2015)","(0, 2015)","(8, 2013)","(19, 2012)","(25, 2012)","(19, 2015)","(0, 2016)","(0, 2015)","(58, 2014)"
82,"(104, 2016)","(104, 2014)","(58, 2015)","(25, 2013)","(4, 2015)","(104, 2015)","(40, 2014)","(25, 2015)","(19, 2013)","(40, 2013)"
83,"(40, 2016)","(104, 2017)","(19, 2015)","(104, 2014)","(40, 2016)","(0, 2014)","(102, 2017)","(0, 2014)","(4, 2015)","(58, 2012)"
84,"(4, 2012)","(58, 2012)","(58, 2013)","(25, 2016)","(8, 2017)","(8, 2012)","(25, 2013)","(25, 2017)","(19, 2014)","(4, 2013)"
85,"(104, 2014)","(25, 2012)","(25, 2015)","(0, 2014)","(8, 2014)","(40, 2017)","(102, 2014)","(102, 2014)","(4, 2016)","(19, 2015)"
86,"(40, 2015)","(4, 2013)","(102, 2017)","(40, 2013)","(19, 2017)","(19, 2016)","(0, 2013)","(58, 2015)","(19, 2015)","(58, 2015)"
87,"(102, 2017)","(104, 2015)","(25, 2017)","(102, 2012)","(104, 2015)","(25, 2014)","(4, 2017)","(40, 2013)","(0, 2017)","(19, 2015)"
88,"(4, 2016)","(102, 2015)","(19, 2014)","(25, 2012)","(102, 2013)","(0, 2017)","(19, 2013)","(40, 2016)","(58, 2017)","(58, 2012)"
89,"(102, 2014)","(104, 2017)","(58, 2015)","(4, 2014)","(25, 2014)","(104, 2017)","(40, 2013)","(4, 2016)","(58, 2015)","(8, 2013)"
90,"(19, 2014)","(25, 2014)","(25, 2012)","(4, 2017)","(19, 2012)","(40, 2013)","(4, 2013)","(102, 2013)","(40, 2013)","(25, 2016)"
91,"(104, 2014)","(58, 2017)","(4, 2016)","(8, 2017)","(104, 2015)","(25, 2014)","(102, 2013)","(104, 2012)","(104, 2015)","(19, 2017)"
92,"(40, 2013)","(102, 2016)","(104, 2014)","(0, 2015)","(8, 2012)","(58, 2017)","(40, 2016)","(4, 2016)","(40, 2016)","(4, 2015)"
93,"(0, 2013)","(4, 2013)","(8, 2017)","(8, 2013)","(19, 2016)","(25, 2017)","(40, 2017)","(104, 2014)","(40, 2014)","(4, 2015)"
94,"(8, 2012)","(104, 2016)","(58, 2017)","(19, 2014)","(25, 2014)","(4, 2017)","(58, 2017)","(58, 2013)","(104, 2017)","(104, 2016)"
95,"(4, 2016)","(4, 2017)","(104, 2017)","(104, 2017)","(19, 2015)","(0, 2012)","(8, 2015)","(19, 2017)","(58, 2014)","(25, 2013)"
96,"(102, 2013)","(40, 2012)","(25, 2014)","(0, 2012)","(40, 2015)","(102, 2015)","(104, 2015)","(4, 2016)","(58, 2016)","(58, 2016)"
97,"(4, 2013)","(25, 2016)","(19, 2012)","(104, 2017)","(8, 2015)","(4, 2015)","(102, 2012)","(104, 2017)","(19, 2017)","(19, 2013)"
98,"(102, 2012)","(58, 2016)","(4, 2017)","(104, 2017)","(4, 2014)","(8, 2015)","(0, 2012)","(8, 2013)","(25, 2015)","(25, 2013)"
99,"(104, 2013)","(4, 2016)","(102, 2017)","(58, 2014)","(104, 2012)","(25, 2015)","(19, 2017)","(40, 2017)","(8, 2012)","(0, 2015)"
100,"(4, 2014)","(40, 2015)","(0, 2017)","(104, 2012)","(4, 2014)","(58, 2015)","(102, 2015)","(4, 2017)","(25, 2017)","(104, 2013)"
101,"(25, 2015)","(102, 2016)","(104, 2017)","(102, 2012)","(102, 2013)","(0, 2017)","(58, 2015)","(19, 2012)","(102, 2014)","(8, 2017)"
102,"(58, 2015)","(4, 2015)","(25, 2015)","(102, 2012)","(40, 2016)","(8, 2014)","(58, 2015)","(25, 2015)","(102, 2014)","(19, 2014)"
103,"(0, 2015)","(40, 2016)","(104, 2012)","(4, 2013)","(0, 2015)","(40, 2015)","(8, 2012)","(4, 2016)","(19, 2016)","(0, 2016)"
104,"(40, 2016)","(4, 2014)","(58, 2015)","(104, 2012)","(58, 2012)","(4, 2017)","(25, 2012)","(25, 2017)","(104, 2017)","(58, 2017)"
105,"(102, 2014)","(25, 2013)","(8, 2016)","(58, 2016)","(58, 2016)","(104, 2014)","(4, 2017)","(0, 2013)","(40, 2013)","(0, 2012)"
106,"(19, 2012)","(19, 2013)","(0, 2017)","(104, 2015)","(8, 2016)","(40, 2017)","(25, 2012)","(8, 2012)","(25, 2012)","(8, 2014)"
107,"(40, 2014)","(102, 2016)","(19, 2015)","(58, 2014)","(0, 2015)","(8, 2014)","(0, 2015)","(40, 2017)","(4, 2013)","(102, 2016)"
108,"(25, 2014)","(58, 2014)","(102, 2012)","(0, 2014)","(0, 2014)","(58, 2013)","(25, 2017)","(25, 2015)","(40, 2013)","(4, 2017)"
109,"(40, 2012)","(104, 2016)","(40, 2012)","(4, 2013)","(25, 2013)","(58, 2017)","(104, 2017)","(0, 2012)","(40, 2016)","(58, 2014)"
110,"(25, 2012)","(25, 2015)","(102, 2015)","(8, 2014)","(4, 2017)","(25, 2012)","(104, 2013)","(25, 2013)","(25, 2015)","(102, 2014)"
111,"(40, 2016)","(8, 2013)","(58, 2012)","(40, 2014)","(58, 2013)","(40, 2016)","(19, 2013)","(19, 2015)","(0, 2013)","(19, 2014)"
112,"(19, 2016)","(25, 2015)","(58, 2017)","(40, 2017)","(102, 2013)","(4, 2012)","(40, 2017)","(102, 2016)","(58, 2014)","(58, 2012)"
113,"(8, 2016)","(104, 2012)","(19, 2014)","(102, 2013)","(8, 2017)","(4, 2016)","(25, 2017)","(25, 2012)","(25, 2017)","(8, 2013)"
114,"(40, 2013)","(4, 2015)","(104, 2013)","(104, 2017)","(58, 2013)","(0, 2016)","(0, 2014)","(8, 2015)","(19, 2016)","(8, 2012)"
115,"(102, 2012)","(102, 2014)","(19, 2014)","(25, 2014)","(58, 2015)","(58, 2013)","(25, 2014)","(4, 2016)","(8, 2017)","(0, 2012)"
116,"(104, 2013)","(8, 2016)","(4, 2013)","(8, 2015)","(102, 2013)","(58, 2015)","(58, 2016)","(8, 2015)","(4, 2014)","(40, 2013)"
117,"(58, 2014)","(0, 2015)","(8, 2013)","(58, 2013)","(19, 2014)","(102, 2012)","(40, 2013)","(8, 2015)","(58, 2015)","(58, 2013)"
118,"(19, 2017)","(25, 2012)","(19, 2015)","(40, 2013)","(58, 2012)","(104, 2015)","(40, 2016)","(40, 2017)","(104, 2012)","(25, 2015)"
119,"(8, 2016)","(19, 2014)","(8, 2014)","(4, 2016)","(4, 2016)","(104, 2016)","(58, 2013)","(19, 2015)","(8, 2016)","(8, 2013)"
120,"(40, 2013)","(19, 2013)","(102, 2013)","(25, 2013)","(8, 2012)","(0, 2013)","(8, 2012)","(8, 2015)","(58, 2017)","(104, 2013)"
121,"(104, 2013)","(40, 2013)","(58, 2013)","(104, 2015)","(4, 2013)","(25, 2014)","(40, 2014)","(0, 2012)","(40, 2015)","(58, 2015)"
122,"(25, 2015)","(8, 2015)","(19, 2016)","(58, 2014)","(58, 2015)","(8, 2013)","(4, 2015)","(102, 2012)","(104, 2014)","(104, 2012)"
123,"(19, 2017)","(0, 2013)","(40, 2017)","(102, 2012)","(102, 2017)","(25, 2012)","(104, 2016)","(8, 2017)","(40, 2014)","(4, 2012)"
124,"(104, 2012)","(58, 2017)","(40, 2017)","(19, 2014)","(104, 2014)","(0, 2017)","(102, 2012)","(8, 2016)","(104, 2012)","(102, 2015)"
125,"(25, 2014)","(4, 2015)","(104, 2012)","(8, 2016)","(104, 2015)","(104, 2014)","(102, 2012)","(19, 2014)","(58, 2014)","(19, 2016)"
126,"(40, 2015)","(25, 2014)","(8, 2015)","(102, 2013)","(19, 2015)","(102, 2014)","(19, 2015)","(4, 2015)","(25, 2016)","(40, 2016)"
127,"(58, 2017)","(19, 2013)","(102, 2014)","(25, 2014)","(0, 2012)","(0, 2013)","(0, 2015)","(0, 2013)","(25, 2013)","(40, 2014)"
128,"(0, 2016)","(102, 2013)","(58, 2016)","(102, 2016)","(0, 2012)","(25, 2014)","(104, 2017)","(40, 2016)","(8, 2016)","(40, 2014)"
129,"(102, 2017)","(19, 2016)","(40, 2016)","(58, 2013)","(25, 2017)","(104, 2013)","(0, 2017)","(0, 2014)","(8, 2015)","(58, 2015)"
130,"(19, 2013)","(19, 2017)","(104, 2012)","(40, 2013)","(40, 2016)","(4, 2012)","(104, 2015)","(102, 2015)","(102, 2015)","(4, 2016)"
131,"(4, 2013)","(0, 2016)","(25, 2016)","(58, 2015)","(104, 2017)","(8, 2013)","(4, 2015)","(8, 2014)","(4, 2012)","(0, 2014)"
132,"(0, 2013)","(102, 2017)","(102, 2015)","(4, 2015)","(25, 2014)","(104, 2016)","(0, 2016)","(19, 2014)","(25, 2016)","(58, 2013)"
133,"(40, 2014)","(104, 2016)","(19, 2016)","(58, 2012)","(40, 2015)","(19, 2016)","(19, 2014)","(102, 2016)","(0, 2015)","(102, 2017)"
134,"(19, 2014)","(58, 2012)","(102, 2014)","(0, 2016)","(19, 2012)","(8, 2016)","(0, 2012)","(102, 2015)","(0, 2017)","(102, 2014)"
135,"(19, 2013)","(58, 2015)","(58, 2013)","(58, 2014)","(25, 2017)","(8, 2017)","(40, 2013)","(25, 2017)","(8, 2017)","(0, 2012)"
136,"(25, 2017)","(0, 2015)","(58, 2013)","(4, 2016)","(4, 2014)","(19, 2016)","(0, 2017)","(19, 2012)","(4, 2016)","(19, 2017)"
137,"(19, 2017)","(102, 2014)","(0, 2012)","(0, 2013)","(104, 2015)","(19, 2012)","(58, 2015)","(40, 2017)","(102, 2015)","(19, 2016)"
138,"(40, 2013)","(4, 2014)","(8, 2013)","(58, 2014)","(19, 2017)","(8, 2013)","(40, 2014)","(19, 2012)","(40, 2013)","(4, 2017)"
139,"(19, 2014)","(8, 2012)","(8, 2012)","(25, 2016)","(102, 2017)","(104, 2015)","(104, 2017)","(40, 2015)","(40, 2012)","(19, 2013)"
140,"(102, 2015)","(25, 2017)","(102, 2013)","(4, 2016)","(19, 2014)","(40, 2017)","(104, 2015)","(40, 2015)","(104, 2014)","(102, 2015)"
141,"(4, 2016)","(58, 2012)","(19, 2015)","(102, 2013)","(102, 2012)","(40, 2012)","(8, 2013)","(4, 2017)","(102, 2012)","(40, 2017)"
142,"(40, 2014)","(58, 2014)","(40, 2016)","(19, 2017)","(19, 2016)","(104, 2016)","(19, 2014)","(19, 2017)","(19, 2016)","(58, 2013)"
143,"(104, 2012)","(104, 2015)","(40, 2015)","(104, 2013)","(19, 2013)","(0, 2017)","(58, 2012)","(19, 2017)","(4, 2017)","(102, 2015)"
144,"(102, 2014)","(8, 2014)","(102, 2012)","(104, 2017)","(8, 2013)","(19, 2014)","(4, 2017)","(104, 2012)","(4, 2015)","(0, 2012)"
145,"(0, 2017)","(104, 2016)","(25, 2016)","(58, 2015)","(0, 2015)","(4, 2017)","(102, 2012)","(8, 2012)","(58, 2017)","(19, 2012)"
146,"(58, 2016)","(58, 2014)","(25, 2013)","(104, 2016)","(0, 2014)","(102, 2013)","(40, 2016)","(58, 2012)","(19, 2014)","(0, 2012)"
147,"(104, 2016)","(0, 2012)","(58, 2014)","(40, 2012)","(25, 2015)","(102, 2012)","(25, 2014)","(0, 2016)","(58, 2016)","(25, 2013)"
148,"(104, 2015)","(25, 2013)","(40, 2016)","(19, 2016)","(25, 2013)","(8, 2012)","(8, 2013)","(102, 2015)","(40, 2016)","(8, 2014)"
149,"(40, 2016)","(104, 2015)","(8, 2012)","(25, 2013)","(58, 2017)","(4, 2014)","(8, 2015)","(58, 2016)","(8, 2014)","(0, 2012)"
150,"(58, 2012)","(4, 2014)","(25, 2014)","(25, 2016)","(8, 2014)","(40, 2017)","(8, 2015)","(19, 2017)","(8, 2015)","(19, 2014)"
151,"(19, 2014)","(58, 2012)","(8, 2014)","(40, 2017)","(104, 2015)","(102, 2012)","(19, 2013)","(19, 2017)","(102, 2016)","(8, 2012)"
152,"(58, 2013)","(25, 2017)","(4, 2012)","(58, 2013)","(40, 2016)","(104, 2016)","(102, 2013)","(25, 2016)","(8, 2015)","(8, 2012)"
153,"(40, 2017)","(104, 2017)","(104, 2014)","(102, 2014)","(8, 2013)","(40, 2015)","(4, 2016)","(40, 2017)","(8, 2016)","(4, 2016)"
154,"(4, 2014)","(40, 2016)","(102, 2013)","(40, 2013)","(25, 2013)","(104, 2013)","(8, 2013)","(58, 2013)","(4, 2012)","(104, 2013)"
155,"(19, 2013)","(40, 2012)","(4, 2016)","(4, 2016)","(0, 2016)","(102, 2012)","(58, 2012)","(8, 2013)","(58, 2012)","(25, 2016)"
156,"(58, 2014)","(25, 2014)","(58, 2017)","(102, 2016)","(58, 2017)","(58, 2012)","(58, 2016)","(0, 2015)","(102, 2016)","(40, 2016)"
157,"(104, 2017)","(58, 2013)","(58, 2017)","(40, 2013)","(8, 2016)","(58, 2014)","(58, 2015)","(40, 2017)","(0, 2013)","(8, 2017)"
158,"(8, 2015)","(4, 2017)","(40, 2017)","(8, 2013)","(58, 2014)","(58, 2014)","(8, 2016)","(0, 2012)","(25, 2017)","(40, 2013)"
159,"(19, 2017)","(0, 2015)","(102, 2017)","(4, 2014)","(19, 2016)","(58, 2015)","(40, 2014)","(58, 2015)","(58, 2017)","(4, 2017)"
160,"(102, 2014)","(58, 2013)","(58, 2017)","(40, 2012)","(104, 2014)","(40, 2012)","(19, 2013)","(102, 2012)","(8, 2014)","(102, 2016)"
161,"(104, 2016)","(58, 2012)","(104, 2012)","(19, 2012)","(58, 2015)","(25, 2015)","(0, 2017)","(58, 2017)","(58, 2015)","(19, 2012)"
162,"(104, 2015)","(0, 2015)","(4, 2014)","(25, 2014)","(0, 2017)","(8, 2016)","(25, 2014)","(104, 2015)","(8, 2015)","(8, 2015)"
163,"(102, 2017)","(25, 2017)","(25, 2016)","(40, 2012)","(25, 2017)","(4, 2017)","(4, 2014)","(102, 2012)","(0, 2013)","(0, 2017)"
164,"(40, 2013)","(0, 2013)","(19, 2013)","(40, 2014)","(19, 2016)","(8, 2013)","(8, 2015)","(0, 2016)","(104, 2013)","(19, 2012)"
