Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
22,"(8, 2015, 93.5, 310.7)","(104, 2015, 146.8, 210.4)","(25, 2015, 116.9, 223.7)","(19, 2013, 90.3, 268.8)","(0, 2014, 74.0, 305.5)","(25, 2016, 39.4, 389.5)","(8, -1, 92.6, 327.1)","(104, -1, 153.3, 214.8)","(25, -1, 114.4, 215.3)","(19, -1, 83.0, 286.8)","(0, -1, 65.5, 310.3)","(25, -1, 37.8, 390.0)"
23,"(19, 2014, 111.4, 319.8)","(58, 2012, 89.5, 217.8)","(104, 2017, 150.2, 319.2)","(0, 2015, 116.0, 320.2)","(104, 2017, 92.1, 379.7)","(40, 2017, 98.7, 251.4)","(19, -1, 109.3, 342.2)","(58, -1, 75.5, 212.5)","(104, -1, 160.9, 354.4)","(0, -1, 111.3, 310.2)","(104, -1, 93.9, 363.1)","(40, -1, 88.7, 264.0)"
24,"(0, 2014, 97.3, 305.9)","(58, 2015, 77.6, 259.1)","(40, 2017, 93.2, 235.6)","(19, 2015, 129.4, 344.3)","(4, 2013, 87.1, 347.1)","(104, 2013, 62.4, 365.6)","(0, -1, 90.0, 306.5)","(58, -1, 74.9, 252.6)","(40, -1, 98.3, 245.0)","(19, -1, 112.4, 306.1)","(4, -1, 91.0, 320.7)","(104, -1, 70.3, 398.1)"
25,"(0, 2015, 65.1, 246.5)","(25, 2014, 98.7, 304.0)","(58, 2017, 99.0, 290.1)","(40, 2016, 94.1, 370.9)","(102, 2013, 68.1, 322.4)","(104, 2016, 104.4, 268.8)","(0, -1, 56.5, 250.9)","(25, -1, 121.1, 289.9)","(58, -1, 79.5, 312.5)","(40, -1, 92.8, 351.4)","(102, -1, 82.1, 308.6)","(104, -1, 111.5, 271.9)"
26,"(104, 2016, 95.0, 389.0)","(8, 2015, 121.7, 307.1)","(104, 2013, 110.4, 366.6)","(58, 2015, 70.3, 228.6)","(58, 2013, 68.3, 268.7)","(4, 2012, 139.7, 346.8)","(104, -1, 83.7, 420.2)","(8, -1, 121.8, 307.4)","(104, -1, 116.5, 364.4)","(58, -1, 73.8, 250.7)","(58, -1, 64.9, 286.8)","(4, -1, 150.4, 373.7)"
27,"(58, 2014, 101.5, 312.8)","(104, 2017, 95.6, 394.5)","(104, 2012, 85.4, 214.3)","(19, 2017, 89.0, 202.0)","(8, 2014, 100.4, 391.1)","(19, 2014, 133.3, 264.5)","(58, -1, 109.1, 325.3)","(104, -1, 105.1, 400.9)","(104, -1, 94.4, 220.3)","(19, -1, 84.4, 191.0)","(8, -1, 116.4, 371.0)","(19, -1, 149.2, 256.0)"
28,"(58, 2014, 139.6, 217.7)","(19, 2013, 91.9, 223.7)","(58, 2013, 158.5, 371.3)","(40, 2014, 84.7, 288.3)","(102, 2012, 123.1, 259.6)","(0, 2016, 94.4, 270.1)","(58, -1, 122.9, 202.0)","(19, -1, 85.5, 220.0)","(58, -1, 154.1, 293.1)","(40, -1, 87.6, 285.5)","(102, -1, 118.2, 257.0)","(0, -1, 94.5, 296.8)"
29,"(104, 2017, 122.3, 370.6)","(25, 2014, 103.6, 287.1)","(58, 2016, 106.1, 290.9)","(40, 2017, 109.4, 206.7)","(104, 2012, 150.7, 256.7)","(8, 2016, 115.8, 257.8)","(104, -1, 120.3, 358.4)","(25, -1, 98.9, 295.7)","(58, -1, 121.0, 232.0)","(40, -1, 112.0, 210.8)","(104, -1, 150.8, 259.6)","(8, -1, 105.6, 259.2)"
30,"(19, 2013, 109.0, 330.0)","(102, 2012, 111.2, 384.8)","(40, 2013, 92.4, 346.5)","(19, 2016, 127.7, 352.7)","(25, 2015, 112.2, 284.2)","(40, 2012, 92.4, 248.5)","(19, -1, 114.0, 350.5)","(102, -1, 110.1, 420.6)","(40, -1, 83.1, 319.1)","(19, -1, 110.4, 352.3)","(25, -1, 102.6, 260.7)","(40, -1, 99.8, 223.3)"
31,"(19, 2017, 63.6, 253.6)","(19, 2015, 77.0, 259.4)","(102, 2014, 117.1, 352.5)","(102, 2015, 91.1, 282.6)","(19, 2013, 109.8, 312.0)","(8, 2013, 90.5, 378.5)","(19, -1, 56.8, 281.6)","(19, -1, 76.2, 251.5)","(102, -1, 122.1, 322.9)","(102, -1, 83.6, 284.7)","(19, -1, 129.7, 319.6)","(8, -1, 76.2, 354.7)"
32,"(19, 2016, 57.3, 257.2)","(102, 2016, 96.0, 391.8)","(102, 2014, 59.6, 392.8)","(40, 2013, 115.4, 286.4)","(4, 2012, 160.2, 219.1)","(8, 2017, 107.9, 300.9)","(19, -1, 57.1, 277.6)","(102, -1, 92.9, 398.4)","(102, -1, 62.7, 376.9)","(40, -1, 98.5, 311.5)","(4, -1, 169.7, 222.4)","(8, -1, 98.5, 303.2)"
33,"(8, 2017, 131.5, 286.7)","(104, 2014, 108.3, 287.2)","(4, 2015, 67.5, 219.0)","(40, 2012, 113.8, 356.1)","(104, 2014, 80.9, 350.6)","(25, 2015, 59.9, 275.7)","(8, -1, 136.3, 265.2)","(104, -1, 113.2, 268.4)","(4, -1, 71.5, 214.6)","(40, -1, 100.8, 328.6)","(104, -1, 80.4, 340.0)","(25, -1, 59.5, 211.2)"
34,"(0, 2012, 107.1, 209.2)","(8, 2016, 104.7, 294.1)","(40, 2013, 72.4, 201.8)","(40, 2015, 99.4, 243.4)","(0, 2013, 63.5, 345.7)","(104, 2015, 157.7, 302.9)","(0, -1, 100.1, 204.3)","(8, -1, 125.0, 307.2)","(40, -1, 57.9, 204.7)","(40, -1, 94.7, 264.9)","(0, -1, 59.2, 336.7)","(104, -1, 126.1, 321.4)"
35,"(4, 2013, 102.5, 383.9)","(4, 2017, 85.3, 237.0)","(0, 2015, 98.8, 300.9)","(19, 2013, 119.0, 372.0)","(104, 2017, 117.8, 387.6)","(104, 2016, 71.8, 213.6)","(4, -1, 100.5, 362.0)","(4, -1, 85.4, 222.3)","(0, -1, 107.3, 316.5)","(19, -1, 125.5, 334.7)","(104, -1, 123.7, 364.7)","(104, -1, 78.1, 215.8)"
36,"(25, 2013, 109.7, 366.4)","(25, 2017, 94.6, 325.1)","(0, 2015, 137.3, 262.4)","(19, 2017, 97.0, 206.8)","(102, 2017, 90.0, 316.8)","(19, 2013, 87.5, 215.6)","(25, -1, 104.2, 388.2)","(25, -1, 92.3, 321.9)","(0, -1, 147.9, 254.0)","(19, -1, 92.7, 201.1)","(102, -1, 96.9, 319.9)","(19, -1, 78.8, 213.3)"
37,"(8, 2013, 77.3, 331.4)","(4, 2014, 64.1, 376.5)","(4, 2015, 68.8, 399.2)","(8, 2017, 112.3, 221.2)","(4, 2013, 88.5, 262.0)","(25, 2015, 55.9, 371.4)","(8, -1, 70.3, 291.8)","(4, -1, 62.6, 375.7)","(4, -1, 72.6, 412.3)","(8, -1, 105.7, 237.9)","(4, -1, 88.9, 260.5)","(25, -1, 59.0, 377.8)"
38,"(8, 2014, 67.9, 373.8)","(40, 2015, 104.7, 258.6)","(40, 2015, 141.7, 357.4)","(40, 2015, 137.1, 325.9)","(8, 2012, 67.3, 277.9)","(40, 2013, 90.0, 256.4)","(8, -1, 71.0, 368.7)","(40, -1, 125.7, 257.7)","(40, -1, 149.7, 364.9)","(40, -1, 131.2, 281.7)","(8, -1, 64.7, 271.1)","(40, -1, 95.5, 242.8)"
39,"(102, 2012, 82.7, 244.0)","(102, 2013, 92.9, 317.8)","(58, 2013, 114.0, 246.4)","(4, 2014, 94.4, 308.8)","(58, 2012, 102.6, 207.2)","(102, 2012, 65.9, 393.8)","(102, -1, 79.8, 223.3)","(102, -1, 92.5, 316.1)","(58, -1, 123.1, 281.0)","(4, -1, 94.1, 287.9)","(58, -1, 100.7, 200.4)","(102, -1, 64.1, 405.9)"
40,"(8, 2016, 86.2, 200.4)","(19, 2014, 123.5, 218.3)","(4, 2017, 110.4, 389.5)","(40, 2013, 139.0, 370.8)","(8, 2013, 88.4, 307.5)","(0, 2016, 91.2, 326.1)","(8, -1, 81.1, 209.9)","(19, -1, 129.0, 234.8)","(4, -1, 115.5, 363.9)","(40, -1, 158.1, 343.9)","(8, -1, 91.7, 319.0)","(0, -1, 110.0, 345.9)"
41,"(4, 2013, 117.3, 383.8)","(0, 2012, 66.4, 365.8)","(58, 2017, 65.1, 322.6)","(0, 2016, 68.7, 221.5)","(25, 2016, 129.8, 385.4)","(104, 2013, 78.6, 223.9)","(4, -1, 111.4, 381.5)","(0, -1, 81.4, 370.2)","(58, -1, 70.4, 334.9)","(0, -1, 71.3, 231.3)","(25, -1, 131.6, 400.7)","(104, -1, 72.7, 222.5)"
42,"(25, 2013, 106.1, 232.6)","(19, 2016, 129.6, 268.6)","(19, 2017, 58.3, 201.7)","(104, 2012, 108.0, 330.3)","(104, 2013, 103.6, 231.3)","(102, 2013, 122.2, 323.2)","(25, -1, 98.8, 259.5)","(19, -1, 110.1, 260.6)","(19, -1, 53.3, 191.5)","(104, -1, 104.4, 347.1)","(104, -1, 100.8, 237.0)","(102, -1, 131.3, 323.0)"
43,"(0, 2016, 134.6, 308.9)","(19, 2014, 48.4, 250.6)","(104, 2017, 110.5, 225.6)","(102, 2012, 58.0, 362.5)","(102, 2013, 171.6, 276.3)","(4, 2017, 83.1, 247.5)","(0, -1, 143.2, 300.4)","(19, -1, 54.2, 233.5)","(104, -1, 106.5, 217.8)","(102, -1, 58.2, 357.0)","(102, -1, 174.8, 290.0)","(4, -1, 65.4, 233.5)"
44,"(104, 2013, 69.7, 331.2)","(25, 2014, 56.9, 312.2)","(102, 2013, 99.7, 279.6)","(0, 2015, 67.9, 374.0)","(25, 2017, 116.5, 343.1)","(0, 2016, 97.1, 259.4)","(104, -1, 69.3, 351.1)","(25, -1, 56.0, 309.6)","(102, -1, 115.6, 280.0)","(0, -1, 70.5, 365.7)","(25, -1, 106.2, 371.5)","(0, -1, 98.7, 275.9)"
45,"(58, 2013, 107.5, 233.2)","(25, 2017, 76.0, 316.1)","(8, 2015, 117.0, 284.9)","(25, 2013, 110.3, 383.1)","(58, 2016, 119.2, 351.2)","(19, 2015, 53.5, 398.2)","(58, -1, 117.9, 219.0)","(25, -1, 72.7, 292.8)","(8, -1, 125.9, 279.5)","(25, -1, 99.4, 428.0)","(58, -1, 119.0, 330.0)","(19, -1, 43.5, 401.2)"
46,"(19, 2015, 93.5, 314.8)","(102, 2016, 83.6, 229.7)","(104, 2014, 120.4, 334.4)","(40, 2014, 72.4, 276.8)","(0, 2016, 99.4, 315.8)","(104, 2013, 82.9, 316.0)","(19, -1, 105.9, 290.5)","(102, -1, 81.2, 248.2)","(104, -1, 125.3, 347.3)","(40, -1, 67.5, 268.8)","(0, -1, 94.3, 291.0)","(104, -1, 67.2, 323.3)"
47,"(40, 2012, 118.6, 229.9)","(25, 2013, 102.3, 354.8)","(102, 2015, 54.7, 370.5)","(25, 2012, 136.6, 393.2)","(4, 2015, 152.7, 255.8)","(19, 2015, 112.8, 322.7)","(40, -1, 117.7, 199.4)","(25, -1, 97.6, 350.3)","(102, -1, 62.6, 359.9)","(25, -1, 149.6, 400.0)","(4, -1, 138.8, 236.3)","(19, -1, 106.5, 352.3)"
48,"(19, 2016, 123.0, 285.3)","(8, 2017, 80.1, 383.9)","(40, 2014, 103.9, 365.1)","(8, 2014, 140.7, 310.6)","(19, 2014, 142.1, 320.6)","(40, 2014, 97.5, 241.3)","(19, -1, 109.1, 271.5)","(8, -1, 88.3, 377.6)","(40, -1, 89.8, 407.3)","(8, -1, 145.5, 282.2)","(19, -1, 152.2, 334.8)","(40, -1, 92.9, 221.9)"
49,"(102, 2012, 99.3, 287.0)","(8, 2014, 86.1, 294.1)","(102, 2016, 91.6, 232.9)","(4, 2013, 110.8, 226.7)","(58, 2015, 92.1, 293.9)","(40, 2013, 113.3, 392.6)","(102, -1, 83.0, 263.8)","(8, -1, 93.1, 303.9)","(102, -1, 107.3, 252.6)","(4, -1, 110.2, 205.7)","(58, -1, 95.7, 271.9)","(40, -1, 99.6, 396.3)"
50,"(0, 2012, 112.0, 270.5)","(0, 2016, 115.9, 397.2)","(19, 2015, 129.8, 324.6)","(4, 2012, 130.5, 308.1)","(58, 2017, 97.8, 368.7)","(58, 2016, 103.3, 311.8)","(0, -1, 111.8, 244.4)","(0, -1, 130.7, 421.1)","(19, -1, 99.1, 338.2)","(4, -1, 129.3, 292.4)","(58, -1, 91.8, 367.9)","(58, -1, 118.1, 326.2)"
51,"(102, 2015, 101.3, 205.3)","(104, 2014, 67.6, 320.2)","(104, 2015, 84.3, 229.3)","(102, 2012, 125.8, 226.3)","(0, 2012, 121.0, 329.4)","(104, 2017, 72.0, 232.2)","(102, -1, 98.3, 215.5)","(104, -1, 69.3, 314.0)","(104, -1, 96.7, 232.0)","(102, -1, 125.4, 215.7)","(0, -1, 137.4, 316.6)","(104, -1, 72.4, 255.6)"
52,"(58, 2015, 122.8, 232.5)","(104, 2016, 161.6, 312.7)","(104, 2016, 132.6, 247.5)","(19, 2014, 87.3, 212.5)","(58, 2012, 116.0, 381.9)","(4, 2014, 47.6, 309.7)","(58, -1, 131.5, 230.1)","(104, -1, 182.7, 332.8)","(104, -1, 129.0, 261.8)","(19, -1, 83.9, 213.4)","(58, -1, 130.3, 337.7)","(4, -1, 42.0, 339.8)"
53,"(102, 2014, 61.6, 261.0)","(25, 2016, 46.7, 204.8)","(8, 2017, 69.5, 366.1)","(0, 2014, 98.7, 375.8)","(104, 2013, 84.3, 325.6)","(8, 2014, 122.7, 273.6)","(102, -1, 51.9, 272.4)","(25, -1, 47.6, 200.1)","(8, -1, 81.0, 362.5)","(0, -1, 112.5, 364.8)","(104, -1, 86.4, 296.5)","(8, -1, 131.1, 252.2)"
54,"(102, 2014, 55.7, 308.4)","(104, 2017, 103.2, 227.6)","(25, 2012, 105.1, 304.5)","(25, 2015, 105.5, 222.9)","(4, 2014, 96.5, 200.7)","(102, 2014, 111.8, 314.7)","(102, -1, 47.1, 272.5)","(104, -1, 81.5, 179.9)","(25, -1, 95.8, 333.1)","(25, -1, 117.0, 243.5)","(4, -1, 87.9, 196.9)","(102, -1, 85.2, 274.9)"
55,"(58, 2015, 72.0, 291.9)","(25, 2012, 105.9, 244.0)","(4, 2017, 106.7, 380.5)","(40, 2017, 103.1, 295.5)","(102, 2017, 99.2, 336.8)","(4, 2012, 89.7, 206.1)","(58, -1, 70.3, 287.2)","(25, -1, 112.0, 223.2)","(4, -1, 119.4, 412.9)","(40, -1, 124.7, 318.3)","(102, -1, 89.1, 344.2)","(4, -1, 87.3, 205.5)"
56,"(19, 2017, 106.0, 259.8)","(40, 2013, 111.1, 216.1)","(102, 2016, 103.6, 259.9)","(19, 2012, 104.5, 315.4)","(58, 2012, 78.0, 301.3)","(58, 2013, 102.1, 386.2)","(19, -1, 118.1, 241.9)","(40, -1, 107.6, 266.7)","(102, -1, 86.1, 200.9)","(19, -1, 95.0, 318.1)","(58, -1, 70.2, 295.4)","(58, -1, 105.1, 369.4)"
57,"(102, 2015, 105.6, 382.2)","(4, 2017, 93.5, 237.7)","(58, 2012, 132.4, 283.6)","(0, 2012, 58.7, 379.2)","(19, 2014, 115.3, 383.3)","(104, 2016, 91.9, 306.6)","(102, -1, 110.6, 434.8)","(4, -1, 89.8, 252.6)","(58, -1, 145.2, 312.8)","(0, -1, 59.7, 434.1)","(19, -1, 109.9, 358.3)","(104, -1, 92.6, 314.2)"
58,"(25, 2015, 102.8, 391.9)","(4, 2014, 118.7, 292.1)","(25, 2016, 111.4, 391.8)","(40, 2015, 102.5, 377.7)","(0, 2017, 136.0, 256.1)","(19, 2016, 65.0, 213.2)","(25, -1, 90.4, 419.1)","(4, -1, 107.2, 312.2)","(25, -1, 94.8, 451.7)","(40, -1, 108.1, 408.6)","(0, -1, 117.9, 270.3)","(19, -1, 65.7, 223.5)"
59,"(4, 2015, 51.1, 237.8)","(25, 2012, 81.0, 279.8)","(25, 2015, 103.0, 277.2)","(25, 2017, 118.4, 334.7)","(0, 2013, 83.4, 280.3)","(0, 2017, 98.7, 263.1)","(4, -1, 52.8, 239.9)","(25, -1, 80.2, 261.9)","(25, -1, 94.9, 302.2)","(25, -1, 113.5, 290.8)","(0, -1, 84.5, 283.9)","(0, -1, 92.7, 248.2)"
60,"(104, 2017, 103.6, 229.2)","(25, 2014, 70.0, 380.9)","(58, 2013, 99.6, 273.0)","(19, 2017, 104.3, 235.6)","(19, 2016, 125.5, 308.4)","(8, 2017, 109.1, 245.4)","(104, -1, 98.6, 205.0)","(25, -1, 69.9, 418.3)","(58, -1, 93.3, 317.2)","(19, -1, 97.6, 224.3)","(19, -1, 137.5, 282.8)","(8, -1, 131.9, 235.4)"
61,"(4, 2016, 94.5, 391.6)","(8, 2013, 117.1, 221.0)","(4, 2015, 125.3, 300.3)","(19, 2014, 101.8, 314.5)","(25, 2017, 86.7, 253.3)","(4, 2012, 93.5, 344.0)","(4, -1, 110.0, 383.2)","(8, -1, 116.2, 226.4)","(4, -1, 130.5, 279.6)","(19, -1, 107.5, 337.8)","(25, -1, 96.7, 243.2)","(4, -1, 85.0, 326.3)"
62,"(4, 2014, 94.6, 386.2)","(0, 2014, 124.7, 251.8)","(102, 2015, 108.0, 316.8)","(104, 2017, 99.0, 318.9)","(25, 2016, 137.9, 322.3)","(19, 2015, 53.2, 339.4)","(4, -1, 82.0, 357.2)","(0, -1, 116.0, 222.9)","(102, -1, 117.1, 318.3)","(104, -1, 98.9, 317.5)","(25, -1, 139.2, 337.5)","(19, -1, 42.3, 391.9)"
63,"(40, 2015, 78.6, 201.6)","(58, 2012, 118.5, 235.6)","(19, 2016, 123.0, 295.7)","(8, 2017, 77.8, 255.4)","(104, 2016, 86.3, 346.3)","(4, 2012, 114.0, 226.3)","(40, -1, 74.1, 197.4)","(58, -1, 121.0, 227.7)","(19, -1, 125.2, 299.5)","(8, -1, 76.9, 271.7)","(104, -1, 85.1, 345.1)","(4, -1, 107.5, 245.3)"
