Scenario no.,SB0,SB1,SB2,SB3,SB4,BM0,BM1,BM2,BM3,BM4
23,"(0, 2014, 108.0, 236.6)","(58, 2013, 121.3, 347.6)","(0, 2017, 112.1, 206.0)","(58, 2017, 148.4, 325.1)","(19, 2016, 101.9, 308.2)","(0, -1, 96.3, 252.5)","(58, -1, 120.2, 353.2)","(0, -1, 128.4, 208.6)","(58, -1, 143.6, 316.4)","(19, -1, 102.7, 266.5)"
24,"(19, 2016, 108.2, 209.7)","(104, 2017, 86.6, 271.4)","(104, 2015, 104.3, 234.1)","(104, 2012, 102.3, 324.1)","(8, 2013, 112.6, 282.5)","(19, -1, 114.4, 179.1)","(104, -1, 94.0, 257.8)","(104, -1, 88.8, 249.8)","(104, -1, 94.4, 311.1)","(8, -1, 118.1, 300.9)"
25,"(19, 2017, 62.2, 281.8)","(8, 2014, 90.0, 229.1)","(0, 2012, 108.2, 200.4)","(104, 2017, 88.5, 394.4)","(104, 2012, 79.2, 250.4)","(19, -1, 64.2, 293.7)","(8, -1, 100.0, 219.2)","(0, -1, 111.7, 180.0)","(104, -1, 94.0, 421.0)","(104, -1, 91.6, 240.2)"
26,"(19, 2013, 137.7, 342.0)","(104, 2017, 140.2, 242.9)","(8, 2015, 124.4, 235.5)","(104, 2013, 84.8, 330.7)","(25, 2013, 85.3, 217.5)","(19, -1, 111.4, 334.3)","(104, -1, 146.3, 274.0)","(8, -1, 138.6, 226.9)","(104, -1, 95.2, 346.0)","(25, -1, 72.6, 203.9)"
27,"(19, 2015, 90.2, 376.6)","(0, 2012, 132.4, 336.3)","(25, 2012, 88.5, 259.1)","(19, 2014, 95.2, 312.7)","(58, 2015, 165.9, 339.7)","(19, -1, 103.7, 371.1)","(0, -1, 130.1, 370.1)","(25, -1, 106.5, 230.8)","(19, -1, 80.6, 317.2)","(58, -1, 163.0, 339.5)"
28,"(104, 2017, 122.6, 298.0)","(0, 2012, 106.6, 292.1)","(104, 2012, 72.2, 232.8)","(40, 2015, 99.3, 311.7)","(0, 2016, 144.3, 355.8)","(104, -1, 124.2, 311.2)","(0, -1, 119.8, 257.3)","(104, -1, 61.9, 252.8)","(40, -1, 103.4, 333.0)","(0, -1, 166.5, 310.6)"
29,"(58, 2017, 137.8, 398.6)","(40, 2012, 77.9, 328.1)","(19, 2015, 84.5, 333.1)","(4, 2016, 114.1, 285.0)","(104, 2016, 40.8, 304.2)","(58, -1, 119.6, 405.6)","(40, -1, 70.2, 331.2)","(19, -1, 85.3, 365.9)","(4, -1, 100.2, 265.1)","(104, -1, 38.1, 279.8)"
30,"(0, 2012, 57.5, 338.5)","(25, 2014, 134.8, 211.6)","(58, 2013, 109.0, 267.7)","(40, 2014, 92.7, 252.8)","(102, 2014, 129.0, 392.7)","(0, -1, 68.6, 345.7)","(25, -1, 120.8, 193.3)","(58, -1, 98.5, 292.9)","(40, -1, 93.2, 237.2)","(102, -1, 130.2, 418.5)"
31,"(104, 2012, 94.6, 213.7)","(104, 2015, 105.2, 227.6)","(8, 2015, 129.3, 284.1)","(104, 2016, 103.8, 236.9)","(58, 2014, 138.0, 322.5)","(104, -1, 92.2, 202.0)","(104, -1, 137.1, 247.7)","(8, -1, 142.1, 300.4)","(104, -1, 103.2, 229.8)","(58, -1, 134.5, 343.2)"
32,"(58, 2013, 101.6, 349.5)","(4, 2016, 130.1, 278.2)","(58, 2013, 100.4, 368.5)","(104, 2016, 81.5, 351.4)","(104, 2015, 96.8, 313.0)","(58, -1, 112.7, 365.6)","(4, -1, 140.1, 257.6)","(58, -1, 87.6, 378.8)","(104, -1, 91.0, 373.8)","(104, -1, 79.8, 307.8)"
33,"(19, 2012, 126.2, 332.0)","(8, 2017, 108.7, 347.6)","(19, 2013, 81.3, 326.3)","(58, 2012, 108.7, 360.5)","(19, 2016, 90.1, 317.7)","(19, -1, 149.5, 365.4)","(8, -1, 107.7, 371.3)","(19, -1, 71.0, 332.5)","(58, -1, 105.0, 383.1)","(19, -1, 89.5, 318.8)"
34,"(58, 2017, 45.7, 342.2)","(40, 2017, 121.4, 281.5)","(102, 2016, 66.3, 388.7)","(0, 2017, 67.8, 246.9)","(104, 2012, 97.7, 310.8)","(58, -1, 44.1, 321.7)","(40, -1, 118.3, 298.4)","(102, -1, 60.3, 397.4)","(0, -1, 70.5, 247.1)","(104, -1, 88.5, 309.0)"
35,"(25, 2015, 36.1, 341.0)","(58, 2013, 89.0, 289.1)","(40, 2012, 99.9, 318.8)","(104, 2016, 143.5, 225.5)","(8, 2013, 109.4, 383.4)","(25, -1, 32.6, 358.4)","(58, -1, 82.8, 309.5)","(40, -1, 89.1, 324.6)","(104, -1, 154.1, 240.9)","(8, -1, 98.5, 365.2)"
36,"(19, 2017, 122.2, 368.6)","(102, 2013, 85.7, 291.5)","(40, 2014, 109.0, 313.7)","(19, 2013, 106.5, 272.1)","(25, 2015, 51.3, 376.0)","(19, -1, 137.4, 412.1)","(102, -1, 84.6, 313.8)","(40, -1, 111.5, 370.4)","(19, -1, 101.8, 272.5)","(25, -1, 52.7, 377.8)"
37,"(40, 2012, 126.1, 251.6)","(19, 2015, 123.2, 282.6)","(19, 2014, 82.3, 258.6)","(102, 2015, 94.1, 203.2)","(102, 2013, 82.0, 255.8)","(40, -1, 141.6, 212.1)","(19, -1, 128.4, 268.3)","(19, -1, 84.7, 248.0)","(102, -1, 108.5, 219.6)","(102, -1, 94.4, 278.6)"
38,"(19, 2013, 50.8, 308.2)","(8, 2013, 103.3, 215.7)","(19, 2012, 78.4, 356.0)","(102, 2016, 80.7, 302.4)","(102, 2016, 91.9, 292.2)","(19, -1, 53.5, 325.3)","(8, -1, 99.7, 202.1)","(19, -1, 80.0, 351.7)","(102, -1, 87.3, 297.5)","(102, -1, 109.5, 314.8)"
39,"(40, 2014, 114.6, 229.3)","(4, 2015, 67.8, 277.1)","(8, 2016, 104.9, 358.2)","(8, 2012, 132.6, 238.2)","(104, 2013, 101.2, 399.6)","(40, -1, 100.4, 231.7)","(4, -1, 48.9, 297.3)","(8, -1, 126.4, 347.2)","(8, -1, 137.4, 243.3)","(104, -1, 116.5, 389.0)"
40,"(4, 2014, 137.7, 262.2)","(40, 2013, 103.8, 209.7)","(104, 2012, 108.7, 281.2)","(25, 2013, 126.1, 346.7)","(0, 2012, 129.0, 371.1)","(4, -1, 140.9, 271.3)","(40, -1, 103.0, 235.0)","(104, -1, 107.0, 245.9)","(25, -1, 105.5, 300.4)","(0, -1, 137.7, 383.1)"
41,"(8, 2015, 77.6, 259.9)","(40, 2012, 100.3, 335.4)","(40, 2015, 106.0, 247.3)","(0, 2015, 84.8, 377.0)","(104, 2015, 99.4, 224.5)","(8, -1, 69.4, 264.8)","(40, -1, 110.0, 328.6)","(40, -1, 125.2, 278.6)","(0, -1, 89.8, 356.7)","(104, -1, 93.2, 228.8)"
42,"(4, 2013, 90.8, 355.6)","(4, 2013, 132.5, 351.9)","(0, 2013, 70.8, 359.3)","(19, 2014, 107.6, 376.4)","(104, 2014, 60.4, 362.0)","(4, -1, 97.7, 301.8)","(4, -1, 116.4, 317.2)","(0, -1, 66.2, 393.6)","(19, -1, 128.8, 324.5)","(104, -1, 57.8, 368.2)"
43,"(104, 2017, 93.6, 203.5)","(25, 2017, 99.0, 278.0)","(25, 2016, 108.1, 250.3)","(0, 2014, 92.9, 275.9)","(19, 2013, 115.9, 341.7)","(104, -1, 73.5, 226.5)","(25, -1, 98.5, 291.5)","(25, -1, 113.0, 255.1)","(0, -1, 87.7, 299.4)","(19, -1, 115.1, 305.4)"
44,"(102, 2014, 103.1, 313.8)","(19, 2014, 159.1, 355.6)","(8, 2014, 91.3, 309.7)","(4, 2016, 135.0, 238.9)","(4, 2015, 87.2, 376.2)","(102, -1, 142.4, 313.4)","(19, -1, 179.3, 341.4)","(8, -1, 81.2, 300.2)","(4, -1, 139.3, 260.7)","(4, -1, 68.1, 371.0)"
45,"(8, 2013, 117.4, 390.9)","(4, 2013, 125.0, 234.0)","(25, 2017, 122.9, 316.6)","(8, 2016, 109.6, 215.0)","(40, 2012, 101.6, 270.1)","(8, -1, 122.7, 439.7)","(4, -1, 143.7, 265.6)","(25, -1, 128.3, 345.3)","(8, -1, 110.8, 236.4)","(40, -1, 87.1, 263.7)"
46,"(40, 2015, 76.5, 246.5)","(40, 2016, 59.6, 383.8)","(8, 2013, 112.9, 308.9)","(40, 2014, 79.7, 342.6)","(102, 2016, 76.4, 287.5)","(40, -1, 81.9, 219.2)","(40, -1, 53.3, 367.0)","(8, -1, 120.3, 321.1)","(40, -1, 83.3, 334.2)","(102, -1, 82.5, 309.0)"
47,"(102, 2012, 112.2, 291.5)","(58, 2016, 92.5, 285.2)","(4, 2012, 135.9, 205.3)","(58, 2017, 115.9, 395.0)","(102, 2016, 133.4, 293.9)","(102, -1, 94.5, 278.3)","(58, -1, 96.1, 274.9)","(4, -1, 149.5, 217.5)","(58, -1, 112.4, 446.9)","(102, -1, 145.9, 277.1)"
48,"(8, 2017, 123.0, 269.8)","(19, 2012, 82.2, 369.9)","(4, 2016, 116.3, 289.7)","(40, 2012, 103.3, 208.0)","(8, 2012, 89.2, 207.9)","(8, -1, 90.9, 255.0)","(19, -1, 90.2, 383.4)","(4, -1, 110.0, 336.0)","(40, -1, 101.6, 205.8)","(8, -1, 85.5, 215.0)"
49,"(0, 2016, 51.8, 341.8)","(4, 2013, 21.3, 211.5)","(0, 2016, 66.6, 232.7)","(58, 2013, 102.8, 326.8)","(0, 2012, 91.5, 207.5)","(0, -1, 45.1, 297.0)","(4, -1, 20.3, 175.2)","(0, -1, 67.3, 223.3)","(58, -1, 91.8, 356.9)","(0, -1, 91.8, 207.2)"
50,"(25, 2017, 102.2, 247.9)","(104, 2016, 124.6, 355.8)","(25, 2012, 144.6, 392.4)","(19, 2013, 103.4, 254.1)","(19, 2016, 105.2, 381.7)","(25, -1, 81.6, 242.7)","(104, -1, 134.4, 346.5)","(25, -1, 128.0, 430.5)","(19, -1, 94.3, 237.6)","(19, -1, 105.2, 391.4)"
51,"(104, 2016, 92.2, 254.5)","(104, 2016, 84.7, 311.9)","(102, 2015, 96.2, 332.0)","(0, 2017, 85.8, 388.6)","(19, 2013, 107.1, 303.6)","(104, -1, 89.4, 275.3)","(104, -1, 96.5, 332.4)","(102, -1, 114.8, 292.8)","(0, -1, 94.6, 371.3)","(19, -1, 113.7, 325.8)"
52,"(104, 2012, 85.9, 214.5)","(102, 2012, 114.6, 333.1)","(102, 2016, 108.3, 302.3)","(4, 2014, 80.8, 253.9)","(104, 2014, 109.6, 312.9)","(104, -1, 72.1, 213.5)","(102, -1, 102.6, 317.9)","(102, -1, 127.0, 294.5)","(4, -1, 75.4, 277.5)","(104, -1, 107.2, 332.5)"
53,"(25, 2015, 117.8, 325.2)","(102, 2012, 146.0, 331.1)","(0, 2016, 79.8, 361.1)","(25, 2015, 120.1, 374.5)","(0, 2016, 85.5, 323.1)","(25, -1, 115.3, 326.6)","(102, -1, 150.4, 349.6)","(0, -1, 82.5, 322.5)","(25, -1, 123.6, 364.6)","(0, -1, 92.3, 356.2)"
54,"(58, 2012, 100.2, 350.8)","(25, 2014, 99.3, 362.2)","(8, 2017, 114.0, 393.6)","(25, 2013, 105.0, 343.3)","(58, 2013, 145.8, 292.1)","(58, -1, 102.9, 350.1)","(25, -1, 86.4, 340.9)","(8, -1, 104.0, 375.7)","(25, -1, 105.1, 375.7)","(58, -1, 147.0, 295.1)"
55,"(19, 2016, 103.8, 333.3)","(19, 2015, 89.4, 393.6)","(102, 2013, 118.0, 256.0)","(104, 2015, 130.6, 230.4)","(40, 2012, 118.7, 285.2)","(19, -1, 112.3, 304.3)","(19, -1, 91.5, 439.2)","(102, -1, 136.7, 253.1)","(104, -1, 103.8, 225.0)","(40, -1, 117.1, 253.4)"
56,"(0, 2016, 111.3, 380.3)","(104, 2017, 90.1, 366.3)","(40, 2015, 140.7, 309.0)","(25, 2016, 149.7, 290.0)","(102, 2013, 81.5, 227.8)","(0, -1, 109.1, 391.8)","(104, -1, 97.5, 356.9)","(40, -1, 147.7, 340.7)","(25, -1, 138.6, 356.9)","(102, -1, 76.4, 245.4)"
57,"(25, 2014, 93.5, 264.7)","(4, 2012, 75.6, 241.0)","(19, 2013, 136.5, 376.0)","(19, 2017, 109.6, 340.6)","(8, 2016, 100.5, 335.6)","(25, -1, 95.4, 307.5)","(4, -1, 79.7, 228.4)","(19, -1, 137.0, 352.9)","(19, -1, 98.1, 386.4)","(8, -1, 92.4, 359.2)"
58,"(40, 2015, 83.3, 354.6)","(8, 2016, 89.9, 368.2)","(19, 2015, 91.4, 219.1)","(40, 2016, 75.5, 344.1)","(102, 2012, 94.2, 208.9)","(40, -1, 78.7, 410.6)","(8, -1, 87.1, 362.7)","(19, -1, 76.9, 225.7)","(40, -1, 86.9, 335.0)","(102, -1, 100.8, 211.7)"
59,"(8, 2014, 115.9, 234.8)","(102, 2017, 102.0, 303.6)","(4, 2015, 95.6, 245.8)","(58, 2013, 120.7, 328.3)","(40, 2014, 116.2, 362.6)","(8, -1, 124.6, 234.5)","(102, -1, 84.8, 320.9)","(4, -1, 103.6, 247.9)","(58, -1, 123.3, 290.3)","(40, -1, 128.6, 405.3)"
60,"(0, 2012, 167.3, 355.0)","(0, 2015, 114.1, 272.8)","(19, 2016, 49.6, 250.2)","(4, 2017, 147.5, 258.9)","(58, 2017, 154.2, 220.2)","(0, -1, 166.5, 349.4)","(0, -1, 121.5, 277.1)","(19, -1, 46.6, 239.2)","(4, -1, 154.1, 272.5)","(58, -1, 157.3, 218.9)"
61,"(58, 2016, 123.3, 363.7)","(102, 2014, 148.6, 334.0)","(104, 2016, 66.0, 227.9)","(104, 2014, 114.7, 221.6)","(102, 2014, 80.8, 346.1)","(58, -1, 122.7, 362.7)","(102, -1, 131.8, 368.2)","(104, -1, 65.0, 220.8)","(104, -1, 109.5, 211.9)","(102, -1, 102.0, 318.5)"
62,"(0, 2013, 58.7, 236.8)","(104, 2013, 63.2, 344.8)","(58, 2013, 93.1, 276.7)","(104, 2016, 101.9, 239.2)","(104, 2015, 112.4, 300.4)","(0, -1, 66.3, 220.4)","(104, -1, 68.0, 342.9)","(58, -1, 87.5, 266.7)","(104, -1, 88.9, 230.6)","(104, -1, 125.9, 305.1)"
63,"(19, 2015, 92.2, 243.3)","(58, 2013, 121.4, 267.4)","(4, 2013, 129.6, 397.4)","(102, 2015, 57.8, 277.7)","(25, 2013, 86.4, 211.0)","(19, -1, 97.1, 236.6)","(58, -1, 141.1, 255.8)","(4, -1, 124.4, 393.7)","(102, -1, 55.8, 250.3)","(25, -1, 97.1, 188.2)"
64,"(8, 2014, 113.9, 276.1)","(0, 2012, 123.2, 323.9)","(104, 2017, 83.7, 246.7)","(8, 2014, 81.5, 308.8)","(102, 2015, 98.3, 279.8)","(8, -1, 127.9, 254.6)","(0, -1, 104.2, 306.7)","(104, -1, 84.0, 226.6)","(8, -1, 81.7, 332.8)","(102, -1, 100.0, 281.4)"
65,"(104, 2013, 92.5, 279.3)","(25, 2012, 84.7, 284.8)","(25, 2013, 132.5, 255.0)","(4, 2017, 35.4, 265.1)","(102, 2017, 107.3, 203.8)","(104, -1, 107.0, 270.9)","(25, -1, 79.4, 263.1)","(25, -1, 142.8, 254.1)","(4, -1, 33.9, 273.6)","(102, -1, 104.9, 207.6)"
66,"(58, 2014, 109.7, 240.3)","(25, 2017, 91.5, 252.0)","(4, 2017, 127.7, 324.7)","(40, 2017, 90.4, 395.9)","(102, 2017, 90.1, 277.2)","(58, -1, 120.2, 224.7)","(25, -1, 93.9, 220.8)","(4, -1, 149.5, 320.9)","(40, -1, 92.6, 341.4)","(102, -1, 85.5, 254.4)"
67,"(4, 2013, 112.2, 352.8)","(19, 2017, 77.8, 251.9)","(40, 2014, 69.3, 313.4)","(102, 2012, 76.5, 358.6)","(19, 2016, 121.1, 221.9)","(4, -1, 123.3, 373.3)","(19, -1, 76.0, 287.3)","(40, -1, 69.5, 328.2)","(102, -1, 76.8, 388.9)","(19, -1, 113.1, 205.4)"
68,"(58, 2016, 88.4, 203.5)","(58, 2012, 98.5, 221.8)","(102, 2013, 69.8, 300.4)","(4, 2017, 95.6, 346.7)","(58, 2016, 89.2, 237.0)","(58, -1, 98.7, 176.3)","(58, -1, 88.8, 208.1)","(102, -1, 70.0, 290.4)","(4, -1, 86.8, 326.6)","(58, -1, 100.4, 242.8)"
69,"(0, 2014, 83.7, 311.2)","(19, 2016, 88.5, 260.9)","(104, 2014, 139.4, 279.4)","(25, 2017, 115.6, 226.4)","(4, 2012, 106.5, 367.3)","(0, -1, 80.7, 339.4)","(19, -1, 100.9, 281.2)","(104, -1, 142.7, 265.4)","(25, -1, 111.3, 213.9)","(4, -1, 106.5, 347.4)"
70,"(25, 2016, 122.7, 324.3)","(40, 2012, 153.7, 372.5)","(0, 2015, 158.3, 231.4)","(19, 2012, 115.1, 369.7)","(4, 2017, 106.9, 240.3)","(25, -1, 125.5, 344.8)","(40, -1, 164.0, 341.8)","(0, -1, 166.5, 217.6)","(19, -1, 85.6, 352.6)","(4, -1, 98.5, 271.9)"
71,"(25, 2016, 110.4, 244.7)","(25, 2017, 72.9, 326.2)","(25, 2014, 120.1, 208.2)","(0, 2012, 51.6, 245.2)","(0, 2016, 60.5, 218.6)","(25, -1, 137.8, 244.2)","(25, -1, 72.1, 342.6)","(25, -1, 121.9, 205.4)","(0, -1, 49.7, 263.6)","(0, -1, 63.9, 224.1)"
72,"(104, 2013, 104.2, 381.7)","(25, 2014, 133.3, 248.7)","(58, 2013, 105.2, 246.9)","(19, 2013, 115.7, 287.6)","(19, 2017, 88.8, 273.1)","(104, -1, 101.2, 402.8)","(25, -1, 121.0, 254.3)","(58, -1, 116.5, 272.1)","(19, -1, 119.7, 267.1)","(19, -1, 84.2, 280.7)"
73,"(8, 2015, 93.7, 295.0)","(4, 2012, 127.8, 202.6)","(8, 2013, 111.8, 309.6)","(4, 2014, 118.9, 343.5)","(19, 2013, 106.6, 233.2)","(8, -1, 109.6, 316.7)","(4, -1, 143.7, 211.5)","(8, -1, 110.9, 332.1)","(4, -1, 122.3, 340.2)","(19, -1, 71.9, 203.3)"
74,"(25, 2017, 76.0, 372.9)","(4, 2015, 93.9, 306.6)","(4, 2016, 74.6, 365.4)","(0, 2017, 111.2, 290.8)","(102, 2014, 102.2, 242.4)","(25, -1, 79.6, 367.6)","(4, -1, 95.1, 303.8)","(4, -1, 78.1, 359.2)","(0, -1, 113.5, 321.8)","(102, -1, 114.7, 259.6)"
75,"(104, 2014, 96.3, 281.9)","(25, 2016, 136.4, 277.6)","(19, 2015, 103.2, 330.0)","(40, 2015, 102.3, 218.2)","(58, 2012, 61.2, 212.6)","(104, -1, 99.7, 279.6)","(25, -1, 133.0, 281.2)","(19, -1, 90.9, 333.6)","(40, -1, 97.9, 234.0)","(58, -1, 58.1, 231.9)"
76,"(19, 2017, 87.9, 361.2)","(8, 2014, 92.7, 358.9)","(104, 2012, 106.1, 259.1)","(4, 2017, 129.1, 203.8)","(25, 2013, 84.3, 252.1)","(19, -1, 86.6, 356.1)","(8, -1, 89.2, 341.7)","(104, -1, 106.3, 275.0)","(4, -1, 143.3, 192.4)","(25, -1, 91.6, 248.8)"
