Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
17,"(4, 2013)","(25, 2014)","(25, 2014)","(25, 2013)","(0, 2015)","(0, 2015)","(104, 2016)","(25, 2016)","(58, 2014)","(19, 2013)","(19, 2013)","(8, 2012)"
18,"(102, 2012)","(104, 2017)","(25, 2015)","(19, 2013)","(40, 2017)","(58, 2017)","(19, 2013)","(8, 2017)","(104, 2012)","(4, 2016)","(25, 2015)","(0, 2017)"
19,"(19, 2015)","(58, 2012)","(25, 2012)","(102, 2015)","(19, 2013)","(0, 2014)","(40, 2015)","(19, 2014)","(102, 2015)","(40, 2012)","(40, 2015)","(104, 2014)"
20,"(0, 2013)","(19, 2016)","(58, 2013)","(4, 2014)","(8, 2017)","(25, 2017)","(4, 2014)","(19, 2015)","(8, 2013)","(25, 2014)","(102, 2014)","(25, 2016)"
21,"(8, 2016)","(19, 2013)","(58, 2013)","(0, 2014)","(104, 2014)","(0, 2016)","(102, 2017)","(58, 2015)","(40, 2016)","(58, 2017)","(40, 2014)","(8, 2016)"
22,"(8, 2017)","(4, 2012)","(0, 2014)","(0, 2015)","(8, 2016)","(104, 2017)","(19, 2015)","(0, 2015)","(104, 2012)","(104, 2016)","(4, 2016)","(0, 2015)"
23,"(58, 2013)","(8, 2017)","(58, 2017)","(40, 2017)","(40, 2012)","(25, 2013)","(58, 2017)","(40, 2013)","(4, 2017)","(19, 2016)","(19, 2014)","(104, 2014)"
24,"(58, 2012)","(104, 2015)","(102, 2017)","(40, 2012)","(19, 2016)","(8, 2014)","(19, 2013)","(8, 2012)","(40, 2013)","(25, 2014)","(4, 2013)","(40, 2013)"
25,"(102, 2016)","(40, 2013)","(0, 2014)","(25, 2015)","(4, 2016)","(4, 2013)","(58, 2012)","(58, 2016)","(0, 2013)","(8, 2014)","(19, 2016)","(102, 2015)"
26,"(0, 2016)","(40, 2012)","(25, 2014)","(0, 2014)","(8, 2016)","(19, 2014)","(4, 2016)","(102, 2012)","(4, 2014)","(19, 2013)","(25, 2014)","(4, 2016)"
27,"(40, 2014)","(25, 2016)","(25, 2016)","(104, 2012)","(4, 2014)","(40, 2013)","(102, 2012)","(0, 2014)","(4, 2015)","(19, 2016)","(8, 2012)","(104, 2014)"
28,"(19, 2016)","(19, 2015)","(58, 2012)","(0, 2016)","(19, 2017)","(58, 2013)","(19, 2014)","(58, 2013)","(19, 2016)","(8, 2013)","(8, 2016)","(8, 2017)"
29,"(58, 2016)","(4, 2017)","(58, 2013)","(58, 2015)","(58, 2012)","(58, 2017)","(8, 2016)","(40, 2017)","(8, 2015)","(8, 2013)","(19, 2015)","(8, 2016)"
30,"(40, 2012)","(104, 2012)","(8, 2012)","(40, 2012)","(58, 2014)","(25, 2016)","(0, 2017)","(104, 2012)","(40, 2017)","(40, 2014)","(40, 2015)","(4, 2017)"
31,"(25, 2014)","(19, 2016)","(25, 2015)","(40, 2017)","(4, 2015)","(19, 2012)","(58, 2012)","(102, 2013)","(25, 2016)","(0, 2016)","(0, 2017)","(102, 2012)"
32,"(104, 2017)","(0, 2014)","(4, 2012)","(40, 2015)","(58, 2014)","(4, 2015)","(25, 2014)","(0, 2014)","(25, 2013)","(102, 2015)","(102, 2017)","(102, 2015)"
33,"(0, 2017)","(40, 2017)","(25, 2017)","(40, 2012)","(40, 2012)","(19, 2012)","(104, 2015)","(0, 2016)","(4, 2016)","(40, 2014)","(25, 2014)","(4, 2015)"
34,"(19, 2017)","(58, 2016)","(40, 2013)","(104, 2012)","(4, 2012)","(19, 2017)","(104, 2014)","(4, 2013)","(40, 2013)","(104, 2012)","(0, 2017)","(19, 2013)"
35,"(4, 2012)","(0, 2016)","(0, 2014)","(40, 2017)","(58, 2014)","(19, 2012)","(58, 2014)","(4, 2017)","(102, 2016)","(102, 2013)","(0, 2017)","(102, 2015)"
36,"(25, 2012)","(40, 2014)","(40, 2015)","(58, 2015)","(19, 2017)","(104, 2015)","(4, 2017)","(25, 2016)","(8, 2013)","(102, 2014)","(25, 2014)","(4, 2017)"
37,"(25, 2012)","(4, 2015)","(40, 2013)","(25, 2013)","(40, 2013)","(102, 2017)","(25, 2013)","(25, 2012)","(8, 2017)","(8, 2015)","(4, 2012)","(19, 2014)"
38,"(19, 2017)","(8, 2013)","(40, 2015)","(102, 2015)","(19, 2017)","(25, 2014)","(102, 2012)","(58, 2015)","(102, 2016)","(19, 2012)","(58, 2016)","(19, 2017)"
39,"(19, 2016)","(58, 2012)","(58, 2017)","(8, 2012)","(19, 2013)","(40, 2012)","(102, 2014)","(0, 2015)","(102, 2016)","(4, 2017)","(8, 2015)","(40, 2013)"
40,"(102, 2013)","(19, 2013)","(104, 2016)","(40, 2012)","(40, 2012)","(4, 2017)","(102, 2014)","(8, 2015)","(4, 2014)","(0, 2012)","(4, 2016)","(0, 2012)"
41,"(40, 2012)","(19, 2015)","(19, 2015)","(25, 2014)","(0, 2014)","(58, 2013)","(40, 2016)","(19, 2015)","(0, 2012)","(0, 2013)","(4, 2014)","(8, 2012)"
42,"(8, 2013)","(25, 2012)","(102, 2013)","(102, 2014)","(40, 2012)","(102, 2014)","(8, 2013)","(25, 2016)","(4, 2012)","(4, 2016)","(4, 2014)","(102, 2014)"
43,"(104, 2015)","(58, 2017)","(58, 2017)","(40, 2015)","(8, 2015)","(40, 2014)","(0, 2017)","(19, 2016)","(102, 2015)","(0, 2016)","(25, 2013)","(4, 2012)"
44,"(0, 2012)","(4, 2014)","(104, 2016)","(19, 2017)","(40, 2014)","(0, 2016)","(4, 2012)","(4, 2013)","(19, 2017)","(102, 2017)","(19, 2015)","(102, 2015)"
45,"(58, 2012)","(104, 2016)","(104, 2017)","(8, 2016)","(4, 2017)","(0, 2017)","(104, 2017)","(102, 2014)","(102, 2016)","(0, 2016)","(25, 2013)","(104, 2017)"
46,"(0, 2013)","(25, 2012)","(25, 2013)","(0, 2016)","(8, 2016)","(40, 2015)","(40, 2016)","(19, 2015)","(0, 2016)","(0, 2014)","(4, 2015)","(8, 2016)"
47,"(19, 2017)","(19, 2014)","(104, 2014)","(4, 2017)","(19, 2013)","(19, 2017)","(4, 2017)","(40, 2014)","(19, 2012)","(58, 2014)","(25, 2012)","(104, 2012)"
48,"(25, 2012)","(8, 2013)","(4, 2016)","(8, 2014)","(8, 2014)","(19, 2012)","(25, 2016)","(102, 2014)","(40, 2014)","(4, 2016)","(19, 2013)","(4, 2017)"
49,"(19, 2012)","(4, 2015)","(25, 2012)","(102, 2016)","(40, 2015)","(58, 2017)","(8, 2012)","(40, 2014)","(8, 2016)","(8, 2015)","(4, 2013)","(19, 2016)"
50,"(58, 2017)","(40, 2012)","(104, 2017)","(25, 2014)","(19, 2016)","(58, 2012)","(40, 2012)","(19, 2016)","(102, 2016)","(104, 2012)","(104, 2016)","(19, 2016)"
51,"(0, 2013)","(25, 2015)","(104, 2017)","(0, 2012)","(0, 2017)","(25, 2013)","(102, 2013)","(19, 2013)","(102, 2014)","(102, 2016)","(8, 2016)","(8, 2013)"
52,"(25, 2013)","(40, 2013)","(104, 2013)","(8, 2016)","(4, 2017)","(58, 2016)","(19, 2014)","(0, 2015)","(19, 2012)","(40, 2015)","(4, 2015)","(19, 2014)"
53,"(25, 2017)","(0, 2012)","(0, 2014)","(19, 2017)","(104, 2017)","(19, 2016)","(0, 2015)","(25, 2015)","(25, 2016)","(0, 2013)","(8, 2012)","(40, 2014)"
54,"(8, 2013)","(40, 2012)","(40, 2012)","(4, 2012)","(8, 2014)","(104, 2017)","(102, 2015)","(19, 2014)","(102, 2017)","(19, 2014)","(4, 2015)","(0, 2013)"
55,"(0, 2016)","(58, 2014)","(4, 2017)","(58, 2016)","(40, 2016)","(102, 2016)","(0, 2014)","(4, 2014)","(25, 2017)","(40, 2014)","(4, 2015)","(58, 2015)"
56,"(19, 2014)","(0, 2017)","(104, 2015)","(104, 2013)","(4, 2017)","(104, 2016)","(102, 2012)","(40, 2015)","(102, 2014)","(25, 2016)","(0, 2017)","(102, 2014)"
57,"(104, 2017)","(4, 2012)","(25, 2012)","(104, 2016)","(0, 2015)","(4, 2013)","(4, 2014)","(104, 2016)","(25, 2012)","(0, 2017)","(19, 2012)","(0, 2014)"
58,"(4, 2014)","(19, 2012)","(40, 2016)","(0, 2017)","(8, 2013)","(40, 2014)","(104, 2016)","(58, 2015)","(8, 2015)","(102, 2014)","(102, 2013)","(4, 2012)"
59,"(25, 2017)","(58, 2012)","(25, 2013)","(19, 2012)","(8, 2012)","(19, 2017)","(4, 2015)","(4, 2017)","(8, 2014)","(102, 2012)","(8, 2012)","(102, 2016)"
60,"(25, 2013)","(0, 2017)","(19, 2012)","(104, 2012)","(4, 2012)","(58, 2014)","(25, 2015)","(58, 2013)","(58, 2017)","(25, 2016)","(102, 2017)","(8, 2015)"
61,"(102, 2013)","(104, 2012)","(19, 2017)","(104, 2014)","(104, 2013)","(25, 2016)","(25, 2013)","(4, 2017)","(0, 2014)","(102, 2012)","(58, 2014)","(8, 2015)"
62,"(40, 2015)","(25, 2013)","(102, 2017)","(19, 2016)","(8, 2016)","(58, 2015)","(4, 2017)","(40, 2016)","(4, 2017)","(19, 2016)","(4, 2013)","(0, 2012)"
63,"(0, 2014)","(40, 2017)","(0, 2013)","(58, 2012)","(19, 2016)","(104, 2012)","(58, 2013)","(8, 2015)","(4, 2017)","(102, 2016)","(102, 2016)","(58, 2014)"
64,"(102, 2014)","(104, 2013)","(40, 2014)","(102, 2014)","(58, 2012)","(19, 2015)","(19, 2015)","(102, 2017)","(8, 2017)","(104, 2014)","(4, 2013)","(19, 2017)"
65,"(58, 2015)","(40, 2012)","(104, 2017)","(104, 2012)","(4, 2013)","(40, 2013)","(8, 2017)","(40, 2013)","(4, 2016)","(104, 2014)","(4, 2013)","(102, 2016)"
66,"(104, 2017)","(8, 2017)","(104, 2017)","(19, 2016)","(19, 2017)","(102, 2014)","(25, 2015)","(104, 2014)","(19, 2017)","(19, 2014)","(4, 2013)","(102, 2015)"
67,"(8, 2014)","(40, 2015)","(104, 2017)","(104, 2014)","(104, 2014)","(8, 2016)","(8, 2013)","(104, 2012)","(25, 2014)","(4, 2014)","(4, 2013)","(0, 2015)"
68,"(19, 2012)","(25, 2015)","(19, 2016)","(0, 2015)","(0, 2014)","(58, 2012)","(25, 2012)","(19, 2013)","(19, 2016)","(4, 2013)","(0, 2012)","(102, 2017)"
69,"(25, 2013)","(19, 2017)","(40, 2012)","(102, 2015)","(58, 2015)","(58, 2016)","(19, 2014)","(19, 2012)","(8, 2017)","(102, 2015)","(19, 2013)","(40, 2012)"
70,"(102, 2017)","(0, 2016)","(4, 2014)","(58, 2014)","(58, 2014)","(25, 2016)","(40, 2014)","(102, 2016)","(58, 2015)","(0, 2016)","(4, 2013)","(58, 2012)"
71,"(58, 2013)","(58, 2015)","(0, 2014)","(104, 2012)","(40, 2015)","(8, 2014)","(104, 2014)","(25, 2017)","(25, 2014)","(0, 2014)","(8, 2016)","(40, 2015)"
72,"(40, 2017)","(4, 2016)","(102, 2013)","(40, 2015)","(19, 2015)","(19, 2015)","(0, 2013)","(58, 2014)","(19, 2017)","(58, 2012)","(40, 2016)","(4, 2014)"
73,"(104, 2015)","(25, 2013)","(4, 2017)","(40, 2015)","(0, 2015)","(19, 2016)","(58, 2015)","(19, 2016)","(0, 2012)","(19, 2015)","(58, 2017)","(40, 2015)"
74,"(58, 2012)","(102, 2013)","(25, 2016)","(102, 2014)","(8, 2012)","(0, 2017)","(4, 2013)","(58, 2014)","(40, 2014)","(25, 2014)","(104, 2017)","(102, 2015)"
75,"(102, 2013)","(40, 2016)","(102, 2016)","(58, 2013)","(58, 2016)","(19, 2017)","(19, 2016)","(25, 2014)","(25, 2014)","(4, 2012)","(19, 2017)","(40, 2012)"
76,"(102, 2015)","(4, 2013)","(4, 2014)","(4, 2017)","(102, 2012)","(25, 2016)","(104, 2012)","(58, 2015)","(4, 2014)","(8, 2017)","(104, 2016)","(25, 2017)"
77,"(102, 2014)","(0, 2017)","(19, 2017)","(40, 2013)","(40, 2013)","(102, 2016)","(104, 2014)","(0, 2015)","(8, 2012)","(58, 2017)","(40, 2016)","(4, 2016)"
78,"(19, 2013)","(0, 2013)","(4, 2017)","(8, 2013)","(8, 2016)","(19, 2017)","(25, 2017)","(40, 2014)","(104, 2014)","(40, 2015)","(4, 2013)","(58, 2014)"
79,"(104, 2014)","(58, 2017)","(19, 2017)","(25, 2013)","(4, 2017)","(58, 2016)","(58, 2014)","(104, 2017)","(104, 2015)","(104, 2013)","(40, 2014)","(8, 2015)"
80,"(4, 2015)","(104, 2012)","(104, 2015)","(19, 2017)","(0, 2014)","(8, 2013)","(19, 2015)","(58, 2017)","(25, 2014)","(102, 2016)","(40, 2015)","(40, 2012)"
81,"(40, 2016)","(102, 2016)","(104, 2016)","(4, 2013)","(58, 2016)","(58, 2017)","(0, 2017)","(8, 2015)","(104, 2015)","(58, 2012)","(58, 2014)","(19, 2014)"
82,"(8, 2012)","(4, 2017)","(102, 2017)","(104, 2013)","(19, 2016)","(19, 2013)","(0, 2012)","(102, 2014)","(102, 2013)","(40, 2014)","(19, 2012)","(102, 2017)"
83,"(8, 2013)","(25, 2012)","(25, 2013)","(104, 2015)","(25, 2016)","(102, 2012)","(40, 2016)","(8, 2016)","(19, 2016)","(0, 2015)","(102, 2017)","(58, 2014)"
84,"(8, 2014)","(0, 2013)","(4, 2013)","(25, 2016)","(0, 2017)","(40, 2014)","(104, 2013)","(19, 2016)","(4, 2015)","(40, 2017)","(0, 2016)","(104, 2013)"
85,"(104, 2016)","(58, 2013)","(102, 2013)","(40, 2012)","(102, 2015)","(104, 2014)","(40, 2015)","(4, 2016)","(25, 2017)","(102, 2012)","(104, 2013)","(102, 2017)"
86,"(0, 2015)","(58, 2015)","(4, 2015)","(25, 2012)","(102, 2016)","(40, 2014)","(8, 2015)","(58, 2015)","(25, 2014)","(102, 2014)","(19, 2012)","(58, 2016)"
87,"(40, 2013)","(104, 2015)","(4, 2015)","(0, 2012)","(40, 2016)","(8, 2016)","(4, 2016)","(19, 2017)","(0, 2013)","(58, 2012)","(0, 2014)","(102, 2013)"
88,"(25, 2017)","(25, 2015)","(104, 2014)","(58, 2016)","(8, 2015)","(19, 2015)","(104, 2014)","(0, 2012)","(40, 2016)","(104, 2013)","(102, 2012)","(40, 2017)"
89,"(0, 2014)","(4, 2016)","(25, 2014)","(4, 2012)","(0, 2013)","(19, 2017)","(19, 2015)","(0, 2016)","(104, 2017)","(8, 2012)","(40, 2012)","(25, 2012)"
90,"(40, 2015)","(102, 2014)","(19, 2015)","(58, 2017)","(0, 2013)","(8, 2016)","(0, 2016)","(40, 2016)","(4, 2014)","(102, 2016)","(19, 2012)","(8, 2012)"
91,"(58, 2017)","(25, 2013)","(25, 2013)","(40, 2013)","(4, 2016)","(8, 2016)","(58, 2017)","(104, 2013)","(8, 2014)","(40, 2012)","(40, 2014)","(104, 2012)"
92,"(40, 2016)","(58, 2014)","(0, 2016)","(58, 2016)","(0, 2014)","(58, 2013)","(102, 2017)","(4, 2015)","(4, 2016)","(40, 2013)","(0, 2012)","(58, 2016)"
93,"(25, 2015)","(102, 2014)","(0, 2015)","(102, 2017)","(104, 2015)","(40, 2014)","(8, 2015)","(58, 2012)","(40, 2015)","(58, 2016)","(40, 2013)","(19, 2012)"
94,"(19, 2017)","(19, 2017)","(25, 2013)","(58, 2012)","(40, 2017)","(102, 2016)","(4, 2014)","(40, 2012)","(102, 2014)","(58, 2015)","(58, 2012)","(58, 2015)"
95,"(19, 2017)","(102, 2013)","(8, 2016)","(4, 2016)","(25, 2017)","(25, 2017)","(25, 2017)","(8, 2015)","(25, 2016)","(104, 2013)","(102, 2013)","(104, 2012)"
96,"(104, 2015)","(58, 2016)","(0, 2015)","(0, 2015)","(8, 2016)","(19, 2013)","(8, 2013)","(4, 2016)","(40, 2015)","(58, 2013)","(4, 2014)","(104, 2012)"
97,"(0, 2014)","(102, 2015)","(58, 2013)","(8, 2017)","(104, 2013)","(104, 2016)","(8, 2013)","(4, 2015)","(8, 2013)","(102, 2015)","(58, 2016)","(58, 2015)"
98,"(8, 2014)","(4, 2015)","(58, 2013)","(0, 2013)","(8, 2014)","(58, 2012)","(19, 2013)","(102, 2015)","(40, 2015)","(8, 2013)","(58, 2015)","(58, 2015)"
99,"(25, 2013)","(19, 2012)","(40, 2015)","(58, 2016)","(104, 2017)","(40, 2012)","(40, 2015)","(104, 2014)","(25, 2013)","(40, 2015)","(0, 2014)","(19, 2013)"
100,"(4, 2013)","(4, 2015)","(104, 2016)","(58, 2013)","(19, 2017)","(8, 2015)","(8, 2016)","(25, 2017)","(102, 2014)","(8, 2014)","(25, 2015)","(25, 2012)"
101,"(8, 2015)","(8, 2017)","(58, 2013)","(104, 2016)","(4, 2012)","(4, 2017)","(4, 2017)","(0, 2012)","(4, 2017)","(102, 2013)","(0, 2016)","(58, 2017)"
102,"(0, 2013)","(40, 2014)","(58, 2015)","(4, 2014)","(4, 2014)","(19, 2013)","(4, 2014)","(58, 2012)","(0, 2012)","(102, 2015)","(58, 2015)","(25, 2016)"
103,"(8, 2016)","(104, 2016)","(0, 2013)","(19, 2017)","(0, 2013)","(40, 2017)","(102, 2012)","(102, 2017)","(25, 2012)","(104, 2016)","(8, 2017)","(40, 2014)"
104,"(0, 2012)","(104, 2017)","(58, 2017)","(40, 2014)","(19, 2014)","(104, 2017)","(0, 2012)","(102, 2016)","(8, 2012)","(104, 2015)","(102, 2014)","(58, 2016)"
105,"(4, 2015)","(104, 2012)","(8, 2016)","(104, 2015)","(104, 2014)","(102, 2012)","(19, 2014)","(58, 2014)","(19, 2016)","(102, 2017)","(102, 2016)","(8, 2014)"
106,"(102, 2016)","(19, 2013)","(102, 2013)","(19, 2015)","(4, 2016)","(25, 2016)","(40, 2015)","(19, 2017)","(8, 2016)","(4, 2012)","(19, 2014)","(25, 2017)"
107,"(0, 2016)","(0, 2017)","(0, 2014)","(25, 2013)","(40, 2012)","(40, 2015)","(8, 2015)","(0, 2013)","(102, 2016)","(4, 2016)","(0, 2012)","(102, 2017)"
108,"(8, 2014)","(40, 2016)","(25, 2013)","(4, 2012)","(0, 2012)","(8, 2014)","(40, 2014)","(25, 2015)","(8, 2012)","(102, 2014)","(19, 2017)","(40, 2016)"
109,"(4, 2014)","(40, 2016)","(40, 2013)","(8, 2013)","(19, 2017)","(19, 2012)","(19, 2013)","(104, 2016)","(40, 2012)","(40, 2015)","(4, 2015)","(104, 2015)"
110,"(25, 2016)","(4, 2016)","(0, 2015)","(25, 2017)","(58, 2013)","(104, 2015)","(8, 2014)","(4, 2012)","(8, 2014)","(4, 2017)","(0, 2012)","(4, 2017)"
111,"(4, 2016)","(25, 2014)","(104, 2016)","(0, 2013)","(19, 2017)","(25, 2012)","(58, 2015)","(4, 2017)","(19, 2015)","(19, 2015)","(8, 2012)","(25, 2013)"
112,"(102, 2012)","(25, 2014)","(0, 2012)","(40, 2014)","(19, 2016)","(58, 2012)","(102, 2016)","(0, 2012)","(19, 2015)","(8, 2017)","(0, 2014)","(102, 2015)"
113,"(58, 2012)","(58, 2016)","(58, 2016)","(25, 2013)","(8, 2012)","(40, 2017)","(25, 2017)","(8, 2016)","(0, 2013)","(4, 2013)","(40, 2015)","(40, 2012)"
114,"(19, 2017)","(4, 2013)","(19, 2015)","(4, 2012)","(25, 2012)","(102, 2012)","(58, 2015)","(25, 2017)","(40, 2016)","(58, 2015)","(0, 2017)","(25, 2014)"
115,"(104, 2015)","(4, 2017)","(19, 2016)","(104, 2015)","(19, 2013)","(40, 2013)","(4, 2014)","(8, 2013)","(58, 2014)","(19, 2017)","(8, 2013)","(40, 2014)"
116,"(104, 2012)","(19, 2012)","(8, 2016)","(8, 2017)","(25, 2015)","(102, 2017)","(104, 2015)","(104, 2012)","(40, 2013)","(40, 2016)","(19, 2013)","(102, 2016)"
117,"(102, 2015)","(4, 2015)","(19, 2014)","(40, 2015)","(104, 2013)","(40, 2013)","(104, 2015)","(102, 2013)","(19, 2015)","(40, 2017)","(58, 2015)","(40, 2016)"
118,"(8, 2017)","(4, 2012)","(102, 2017)","(40, 2017)","(0, 2015)","(19, 2017)","(102, 2017)","(4, 2015)","(0, 2017)","(104, 2015)","(4, 2016)","(102, 2012)"
119,"(19, 2015)","(19, 2016)","(19, 2012)","(58, 2015)","(25, 2013)","(8, 2015)","(40, 2012)","(4, 2015)","(104, 2015)","(104, 2013)","(40, 2013)","(104, 2017)"
120,"(58, 2013)","(102, 2012)","(104, 2015)","(40, 2013)","(58, 2012)","(19, 2014)","(102, 2014)","(8, 2012)","(102, 2017)","(104, 2013)","(8, 2014)","(19, 2017)"
121,"(0, 2015)","(19, 2017)","(104, 2016)","(0, 2016)","(104, 2015)","(25, 2015)","(58, 2017)","(0, 2012)","(4, 2012)","(102, 2017)","(8, 2012)","(58, 2015)"
122,"(58, 2013)","(58, 2016)","(25, 2014)","(104, 2013)","(0, 2016)","(102, 2012)","(40, 2014)","(58, 2012)","(19, 2014)","(0, 2012)","(25, 2017)","(8, 2012)"
123,"(58, 2012)","(40, 2015)","(25, 2012)","(102, 2014)","(25, 2016)","(0, 2016)","(58, 2013)","(25, 2012)","(58, 2016)","(25, 2015)","(0, 2016)","(8, 2017)"
124,"(19, 2013)","(25, 2015)","(8, 2016)","(8, 2014)","(102, 2017)","(40, 2012)","(8, 2014)","(4, 2013)","(25, 2016)","(25, 2015)","(4, 2013)","(104, 2013)"
125,"(8, 2013)","(58, 2014)","(8, 2016)","(0, 2016)","(0, 2014)","(58, 2017)","(58, 2014)","(8, 2014)","(19, 2017)","(8, 2015)","(0, 2014)","(58, 2015)"
126,"(104, 2015)","(8, 2015)","(25, 2015)","(102, 2015)","(19, 2014)","(19, 2014)","(19, 2012)","(58, 2014)","(8, 2017)","(40, 2015)","(104, 2012)","(102, 2013)"
127,"(40, 2016)","(25, 2015)","(104, 2014)","(58, 2013)","(25, 2017)","(4, 2012)","(58, 2013)","(40, 2016)","(104, 2016)","(102, 2013)","(25, 2016)","(8, 2015)"
128,"(0, 2014)","(40, 2013)","(104, 2015)","(104, 2016)","(102, 2017)","(8, 2016)","(40, 2016)","(4, 2013)","(40, 2017)","(8, 2017)","(4, 2016)","(8, 2017)"
129,"(104, 2014)","(8, 2014)","(58, 2017)","(4, 2016)","(104, 2017)","(102, 2013)","(4, 2017)","(4, 2013)","(4, 2012)","(102, 2015)","(104, 2014)","(19, 2014)"
130,"(58, 2013)","(25, 2016)","(4, 2016)","(0, 2014)","(25, 2012)","(25, 2017)","(102, 2014)","(0, 2014)","(0, 2017)","(102, 2016)","(0, 2017)","(58, 2012)"
131,"(25, 2014)","(102, 2017)","(19, 2013)","(104, 2017)","(58, 2013)","(58, 2016)","(40, 2014)","(8, 2015)","(58, 2017)","(58, 2013)","(40, 2017)","(0, 2014)"
132,"(4, 2017)","(40, 2017)","(8, 2013)","(58, 2014)","(58, 2014)","(8, 2016)","(0, 2012)","(25, 2017)","(40, 2013)","(102, 2015)","(19, 2014)","(58, 2012)"
133,"(102, 2015)","(4, 2014)","(19, 2015)","(58, 2017)","(40, 2017)","(58, 2015)","(58, 2017)","(4, 2015)","(40, 2012)","(25, 2017)","(102, 2015)","(58, 2017)"
134,"(8, 2017)","(102, 2012)","(8, 2016)","(40, 2015)","(0, 2016)","(8, 2015)","(104, 2016)","(4, 2012)","(104, 2015)","(8, 2015)","(104, 2016)","(58, 2012)"
135,"(58, 2014)","(0, 2016)","(0, 2012)","(19, 2014)","(40, 2014)","(102, 2015)","(0, 2015)","(104, 2014)","(0, 2014)","(4, 2017)","(25, 2016)","(0, 2014)"
136,"(19, 2017)","(19, 2017)","(102, 2016)","(25, 2012)","(25, 2017)","(40, 2017)","(25, 2014)","(4, 2012)","(4, 2013)","(102, 2017)","(0, 2017)","(0, 2012)"
137,"(19, 2013)","(40, 2012)","(19, 2017)","(8, 2013)","(8, 2013)","(0, 2014)","(104, 2014)","(19, 2013)","(58, 2014)","(25, 2012)","(19, 2016)","(25, 2016)"
